,date,account_value
0,2022-01-03,1000000.0
1,2022-01-04,999505.998692627
2,2022-01-05,992733.4104464877
3,2022-01-06,990396.5606984256
4,2022-01-07,990259.5466558842
5,2022-01-10,980478.2899292302
6,2022-01-11,988060.3000664372
7,2022-01-12,993325.5568857427
8,2022-01-13,985493.9296245427
9,2022-01-14,985233.5466652608
10,2022-01-18,973537.616091988
11,2022-01-19,967083.3648865437
12,2022-01-20,960248.7992813801
13,2022-01-21,944631.6762688374
14,2022-01-24,947295.4939949727
15,2022-01-25,936612.1841690755
16,2022-01-26,929446.6253426289
17,2022-01-27,929465.6423055348
18,2022-01-28,951260.7684004598
19,2022-01-31,969166.0947859578
20,2022-02-01,974725.0262739949
21,2022-02-02,979590.0810759359
22,2022-02-03,958970.5652782064
23,2022-02-04,961086.7274715047
24,2022-02-07,960781.4664813619
25,2022-02-08,966083.562951241
26,2022-02-09,976862.9962680058
27,2022-02-10,965162.0563019491
28,2022-02-11,945825.231530068
29,2022-02-14,942228.3791397787
30,2022-02-15,958511.6971066518
31,2022-02-16,958563.5028317495
32,2022-02-17,940003.7943844761
33,2022-02-18,932146.1347307019
34,2022-02-22,921903.1577411466
35,2022-02-23,907154.08070715
36,2022-02-24,918727.2619281583
37,2022-02-25,938681.2580333524
38,2022-02-28,938004.5694385343
39,2022-03-01,917956.1054073148
40,2022-03-02,929705.4878192716
41,2022-03-03,919188.3722682768
42,2022-03-04,911401.5879627042
43,2022-03-07,877362.5659290128
44,2022-03-08,869620.9168315702
45,2022-03-09,891954.504989224
46,2022-03-10,889402.5595165067
47,2022-03-11,883201.3558269315
48,2022-03-14,880581.5850864225
49,2022-03-15,901503.3299861723
50,2022-03-16,922463.9290042692
51,2022-03-17,930620.6172660566
52,2022-03-18,943330.0922378278
53,2022-03-21,933159.5972465253
54,2022-03-22,944069.818281529
55,2022-03-23,930241.1690772749
56,2022-03-24,942013.6589683271
57,2022-03-25,945278.6334432416
58,2022-03-28,951413.8625712324
59,2022-03-29,966058.3223071027
60,2022-03-30,964212.0466570783
61,2022-03-31,949950.7452006269
62,2022-04-01,954607.9788126874
63,2022-04-04,958069.1626576199
64,2022-04-05,947126.75584335
65,2022-04-06,939765.9440032926
66,2022-04-07,942837.9998313871
67,2022-04-08,938683.4843246427
68,2022-04-11,927185.1750404325
69,2022-04-12,924597.4482643094
70,2022-04-13,937589.8843719449
71,2022-04-14,932433.4933273282
72,2022-04-18,927311.8937866178
73,2022-04-19,943014.7173492399
74,2022-04-20,941420.2227622953
75,2022-04-21,929340.5381309476
76,2022-04-22,905338.4623634305
77,2022-04-25,912508.4595558133
78,2022-04-26,887824.8609420743
79,2022-04-27,888294.8004981962
80,2022-04-28,910285.5188018766
81,2022-04-29,886866.854331204
82,2022-05-02,887962.2220794645
83,2022-05-03,887914.6454154935
84,2022-05-04,912764.7965118375
85,2022-05-05,880590.4893218961
86,2022-05-06,874633.1474143949
87,2022-05-09,850969.3277122464
88,2022-05-10,852676.6567413297
89,2022-05-11,840261.6800262418
90,2022-05-12,833279.5792037931
91,2022-05-13,847665.0727323728
92,2022-05-16,845170.5494398313
93,2022-05-17,849769.9856352048
94,2022-05-18,813513.443143662
95,2022-05-19,807046.0573149266
96,2022-05-20,807864.9223080602
97,2022-05-23,823050.8441623845
98,2022-05-24,821572.6654972234
99,2022-05-25,826325.4332470098
100,2022-05-26,842434.9486393132
