,date,account_value
0,2022-01-03,1000000.0
1,2022-01-04,1002981.088827896
2,2022-01-05,997465.0621482851
3,2022-01-06,994691.7966403964
4,2022-01-07,993532.560798981
5,2022-01-10,988828.3601230166
6,2022-01-11,990266.5173038028
7,2022-01-12,990734.2055133365
8,2022-01-13,985354.1730960391
9,2022-01-14,978815.8563464663
10,2022-01-18,960286.7013705752
11,2022-01-19,949876.5846332095
12,2022-01-20,939618.9920199893
13,2022-01-21,930971.1988986514
14,2022-01-24,935762.7154773257
15,2022-01-25,934808.122681
16,2022-01-26,934086.2544024966
17,2022-01-27,931943.6786654971
18,2022-01-28,943688.5283664248
19,2022-01-31,949949.2739566348
20,2022-02-01,956468.8562854312
21,2022-02-02,963938.9476550601
22,2022-02-03,942916.1029208682
23,2022-02-04,942241.0299457095
24,2022-02-07,940949.9282687686
25,2022-02-08,952553.2617953799
26,2022-02-09,960576.0817187808
27,2022-02-10,943992.0148623965
28,2022-02-11,929338.2930911563
29,2022-02-14,926947.0645831607
30,2022-02-15,938374.7736285708
31,2022-02-16,935627.960358002
32,2022-02-17,920648.5636828921
33,2022-02-18,915224.1719668887
34,2022-02-22,898372.6522449038
35,2022-02-23,883820.7530063174
36,2022-02-24,888954.8710635684
37,2022-02-25,909134.7518619082
38,2022-02-28,904827.4353793643
39,2022-03-01,886991.8093265078
40,2022-03-02,905249.6965716861
41,2022-03-03,904720.3940890811
42,2022-03-04,900073.2346118472
43,2022-03-07,881473.6236041568
44,2022-03-08,876809.6843265078
45,2022-03-09,894586.1216281436
46,2022-03-10,888894.8412936709
47,2022-03-11,883112.7095950625
48,2022-03-14,882985.1803134463
49,2022-03-15,901255.1121753238
50,2022-03-16,913728.397568085
51,2022-03-17,925082.7394107364
52,2022-03-18,933088.3818973086
53,2022-03-21,925994.0748599551
54,2022-03-22,932896.727859833
55,2022-03-23,918552.9245608828
56,2022-03-24,924832.8246768496
57,2022-03-25,928828.1746905826
58,2022-03-28,932988.0761493228
59,2022-03-29,941522.18152652
60,2022-03-30,936437.8771976016
61,2022-03-31,922017.6375735782
62,2022-04-01,924332.055733063
63,2022-04-04,928689.1814578555
64,2022-04-05,920460.4855578921
65,2022-04-06,913017.3650287173
66,2022-04-07,916750.5932467959
67,2022-04-08,920536.1930163882
68,2022-04-11,907109.9906924746
69,2022-04-12,904257.5131991885
70,2022-04-13,915672.9897311709
71,2022-04-14,916423.6827701114
72,2022-04-18,915632.2961276553
73,2022-04-19,931969.5158313296
74,2022-04-20,944755.2968143008
75,2022-04-21,937106.3931125186
76,2022-04-22,908190.5864261172
77,2022-04-25,916412.0680926822
78,2022-04-26,894103.0603259585
79,2022-04-27,898626.199432709
80,2022-04-28,913111.5804828189
81,2022-04-29,889630.3502658389
82,2022-05-02,896255.8007663272
83,2022-05-03,894748.4539874576
84,2022-05-04,921565.732673981
85,2022-05-05,891985.8840945743
86,2022-05-06,886277.2445376895
87,2022-05-09,874253.0537341617
88,2022-05-10,869537.0235904239
89,2022-05-11,859572.676033356
90,2022-05-12,859330.2160800479
91,2022-05-13,872655.8917926333
92,2022-05-16,874683.2388309024
93,2022-05-17,889657.0393985293
94,2022-05-18,856339.5239261172
95,2022-05-19,848794.3532489322
96,2022-05-20,845602.6141665957
97,2022-05-23,860505.1267627261
98,2022-05-24,862983.5090106509
99,2022-05-25,870025.3992618106
100,2022-05-26,885655.359085419
101,2022-05-27,901746.0971606753
102,2022-05-31,897240.7564548037
103,2022-06-01,890804.9536212466
104,2022-06-02,901623.3284305118
105,2022-06-03,894861.6372302554
106,2022-06-06,894287.5188907168
107,2022-06-07,899856.6542361758
