,date,account_value
0,2022-01-03,1000000.0
1,2022-01-04,1000304.8257810097
2,2022-01-05,999894.2538079834
3,2022-01-06,999897.3238093149
4,2022-01-07,999869.4006744883
5,2022-01-10,998849.2425825883
6,2022-01-11,999451.2952097246
7,2022-01-12,998580.5948679582
8,2022-01-13,999081.8767205661
9,2022-01-14,997214.9884660571
10,2022-01-18,993090.5421145787
11,2022-01-19,989666.6773873906
12,2022-01-20,988445.9857311215
13,2022-01-21,985084.8802126508
14,2022-01-24,985560.6716715322
15,2022-01-25,985246.6049142345
16,2022-01-26,983290.7416146396
17,2022-01-27,980994.9078991015
18,2022-01-28,987642.415575516
19,2022-01-31,992893.2174429364
20,2022-02-01,998728.4164760173
21,2022-02-02,1001133.4934421048
22,2022-02-03,996981.1987310834
23,2022-02-04,998127.8138489387
24,2022-02-07,999573.4094438063
25,2022-02-08,1002125.9045186355
26,2022-02-09,1006333.6569011351
27,2022-02-10,1001981.3825864492
28,2022-02-11,993831.4667762839
29,2022-02-14,991196.5948210837
30,2022-02-15,998852.2428432319
31,2022-02-16,997958.6523721474
32,2022-02-17,987295.5172307632
33,2022-02-18,983506.308496518
34,2022-02-22,974062.4526350601
35,2022-02-23,964218.6817357452
36,2022-02-24,962557.9148773659
37,2022-02-25,976698.1679707994
38,2022-02-28,970656.7929491012
39,2022-03-01,949446.5251696594
40,2022-03-02,962065.6113192489
41,2022-03-03,953290.4422872207
42,2022-03-04,943274.781384835
43,2022-03-07,917244.098352765
44,2022-03-08,917753.9322218865
45,2022-03-09,935351.192365464
46,2022-03-10,931034.6490095567
47,2022-03-11,929908.121666993
48,2022-03-14,929967.4846845788
49,2022-03-15,947520.1226739663
50,2022-03-16,968662.5687451944
51,2022-03-17,976420.599685338
52,2022-03-18,984558.4455740709
53,2022-03-21,972085.3880737429
54,2022-03-22,982655.999018239
55,2022-03-23,966228.4962853212
56,2022-03-24,974511.7078090333
57,2022-03-25,979279.2895419588
58,2022-03-28,979578.7909860811
59,2022-03-29,994634.5000353517
60,2022-03-30,990817.175364728
61,2022-03-31,976963.4714376153
62,2022-04-01,980356.0758827943
63,2022-04-04,978689.8051723604
64,2022-04-05,967100.9305510148
65,2022-04-06,956094.5670955286
66,2022-04-07,956042.4985806207
67,2022-04-08,959298.4357414026
68,2022-04-11,951539.4965924348
69,2022-04-12,947836.8513354769
70,2022-04-13,959644.3731252565
71,2022-04-14,959689.7959813585
72,2022-04-18,963733.8725879793
73,2022-04-19,980773.9265270586
74,2022-04-20,989151.4242471666
75,2022-04-21,979117.300278142
76,2022-04-22,948851.0698182192
77,2022-04-25,954924.8869206171
78,2022-04-26,926554.9075488863
79,2022-04-27,923015.4648698434
80,2022-04-28,942765.9455470018
81,2022-04-29,912902.9339562502
82,2022-05-02,914883.8435617189
83,2022-05-03,916872.0146205339
84,2022-05-04,943685.2085087327
85,2022-05-05,909489.8830066919
86,2022-05-06,903851.5050677118
87,2022-05-09,877958.9122130098
88,2022-05-10,872315.7899067889
89,2022-05-11,863258.5400254069
90,2022-05-12,855388.9902760782
91,2022-05-13,875353.7850389604
92,2022-05-16,868489.6190681505
93,2022-05-17,889513.7980300722
94,2022-05-18,856803.5367340212
95,2022-05-19,847533.2351350755
96,2022-05-20,847954.0218524981
97,2022-05-23,868457.2111142778
98,2022-05-24,863532.7729914675
99,2022-05-25,870183.5298254747
100,2022-05-26,893335.7425864114
101,2022-05-27,911221.7459658823
102,2022-05-31,909694.073150651
103,2022-06-01,903319.1734724131
104,2022-06-02,924079.6212064447
105,2022-06-03,913995.3606370363
106,2022-06-06,914388.0267442255
107,2022-06-07,920239.18565421
108,2022-06-08,910746.877471902
109,2022-06-09,886648.5295416727
110,2022-06-10,854852.1387064639
111,2022-06-13,829028.6137167788
112,2022-06-14,831136.8070005846
113,2022-06-15,850397.9003106699
114,2022-06-16,828578.6329710283
115,2022-06-17,831277.182727151
116,2022-06-21,843453.5943070384
117,2022-06-22,841366.8808850184
118,2022-06-23,847102.4482283487
119,2022-06-24,882107.9981111689
120,2022-06-27,873386.9435509195
121,2022-06-28,853913.0678216867
122,2022-06-29,858120.3936184854
123,2022-06-30,849077.3011397944
124,2022-07-01,858321.5464751939
125,2022-07-05,858981.765669362
126,2022-07-06,856246.3662880716
127,2022-07-07,870579.8149169054
128,2022-07-08,869201.4592923631
129,2022-07-11,863398.2134913531
130,2022-07-12,864871.5488309985
131,2022-07-13,861237.6948420649
132,2022-07-14,857112.1081189356
133,2022-07-15,875392.7855728655
134,2022-07-18,874071.4885136995
135,2022-07-19,904032.988745862
136,2022-07-20,910562.900044446
137,2022-07-21,919137.1004241686
138,2022-07-22,912328.8731363077
139,2022-07-25,910437.903504014
140,2022-07-26,899053.4421859217
141,2022-07-27,908071.1947600375
142,2022-07-28,920177.7863478938
143,2022-07-29,927151.910309228
144,2022-08-01,933684.8656083994
145,2022-08-02,917543.0511780786
146,2022-08-03,932533.9187064829
147,2022-08-04,935151.3939281168
148,2022-08-05,936600.1645600214
149,2022-08-08,934996.2585080843
150,2022-08-09,927581.593046361
151,2022-08-10,947130.114405572
152,2022-08-11,947109.4133001223
153,2022-08-12,956524.8824385577
154,2022-08-15,963403.0439641619
155,2022-08-16,970102.9064757967
156,2022-08-17,961110.149800294
157,2022-08-18,964471.7133351755
158,2022-08-19,949642.615743188
159,2022-08-22,928683.3345601893
160,2022-08-23,924862.2133039827
161,2022-08-24,930810.1084565058
162,2022-08-25,943251.9055958147
163,2022-08-26,912992.12431524
164,2022-08-29,907878.1771873941
165,2022-08-30,901865.6435564947
166,2022-08-31,893002.6922661391
167,2022-09-01,891443.9340512418
168,2022-09-02,882932.7308119078
169,2022-09-06,880081.943542386
170,2022-09-07,895555.522449727
171,2022-09-08,902593.4888436137
172,2022-09-09,914541.068102254
173,2022-09-12,921551.1840356798
174,2022-09-13,877810.8540352526
175,2022-09-14,882194.34367764
176,2022-09-15,875569.9536903582
177,2022-09-16,866370.0002601938
178,2022-09-19,873373.2191327066
179,2022-09-20,861695.4291938525
180,2022-09-21,844819.3333697328
181,2022-09-22,836445.7503972522
182,2022-09-23,820888.508940938
183,2022-09-26,808566.6996133623
184,2022-09-27,806733.7993731967
185,2022-09-28,825251.0962569838
186,2022-09-29,807808.9305917502
187,2022-09-30,781844.0530030795
188,2022-10-03,802765.4187912245
189,2022-10-04,829903.2621705427
190,2022-10-05,831893.5196198645
191,2022-10-06,823464.5387675009
192,2022-10-07,806219.7430695411
193,2022-10-10,802294.1631631614
194,2022-10-11,801371.6426620779
195,2022-10-12,800387.8582260046
196,2022-10-13,819885.2541022043
197,2022-10-14,810836.8880786372
198,2022-10-17,828800.2144949827
199,2022-10-18,838164.4002181101
200,2022-10-19,831921.861827096
201,2022-10-20,831364.9843054324
202,2022-10-21,846392.9877062426
203,2022-10-24,854296.1423689661
204,2022-10-25,872402.9289881259
205,2022-10-26,868124.0034080516
206,2022-10-27,871962.6239864626
207,2022-10-28,894084.1187268572
208,2022-10-31,887079.3626678019
209,2022-11-01,887091.466335618
210,2022-11-02,871024.2307821075
211,2022-11-03,869071.1787006311
212,2022-11-04,883652.8796507579
213,2022-11-07,895360.4713025065
214,2022-11-08,908861.0805277033
215,2022-11-09,890937.6547840701
216,2022-11-10,938945.8292843237
217,2022-11-11,944511.5043879156
218,2022-11-14,937142.9473046103
219,2022-11-15,945144.2962535467
220,2022-11-16,938701.6028949118
221,2022-11-17,938363.0055913725
222,2022-11-18,942940.6512336455
223,2022-11-21,935396.8625687438
224,2022-11-22,947239.9668600092
225,2022-11-23,952415.3756861372
226,2022-11-25,958585.3225593196
227,2022-11-28,943972.0961607981
228,2022-11-29,947751.0230998107
229,2022-11-30,975257.089011157
230,2022-12-01,967682.6297423812
231,2022-12-02,975553.1488430281
232,2022-12-05,961998.9264837694
233,2022-12-06,947230.8188231593
234,2022-12-07,945337.5543477603
235,2022-12-08,955491.0922497226
236,2022-12-09,948407.0180603209
237,2022-12-12,969486.225288455
238,2022-12-13,971419.1016641532
239,2022-12-14,968017.2677615805
240,2022-12-15,945039.783870719
241,2022-12-16,936390.7584195052
242,2022-12-19,929189.814234231
243,2022-12-20,931599.103593669
244,2022-12-21,965907.9557428466
245,2022-12-22,955216.8158200064
246,2022-12-23,957772.0659775344
247,2022-12-27,961178.4731118765
248,2022-12-28,950903.5877088194
249,2022-12-29,963298.2526860913
250,2022-12-30,963435.0338413497
251,2023-01-03,970814.0278062392
252,2023-01-04,990586.2287954435
253,2023-01-05,984141.2413077727
254,2023-01-06,1011693.037440097
255,2023-01-09,1009256.6714011374
256,2023-01-10,1013074.7417693015
257,2023-01-11,1021130.8613042098
258,2023-01-12,1030085.9153358451
259,2023-01-13,1032453.5170627966
260,2023-01-17,1024225.7905858603
261,2023-01-18,1007831.4680478964
262,2023-01-19,998665.6459797889
263,2023-01-20,1010675.3581013327
264,2023-01-23,1020440.172035182
265,2023-01-24,1021148.8877512694
266,2023-01-25,1023305.5612938108
267,2023-01-26,1027812.0295056411
268,2023-01-27,1035614.3600276633
269,2023-01-30,1027945.8830882178
270,2023-01-31,1040462.2415813742
271,2023-02-01,1046635.9117863532
272,2023-02-02,1040588.3113443214
273,2023-02-03,1033763.9063573447
274,2023-02-06,1028189.8611757956
275,2023-02-07,1039080.0644163352
276,2023-02-08,1029815.0890120993
277,2023-02-09,1026317.6034057456
278,2023-02-10,1025267.1562638007
279,2023-02-13,1040224.1945515814
280,2023-02-14,1042905.2203375922
281,2023-02-15,1044582.4564288169
282,2023-02-16,1027659.6057507086
283,2023-02-17,1027942.3573724814
284,2023-02-21,1002805.8923659431
285,2023-02-22,1000227.325684783
286,2023-02-23,1005475.6384666892
287,2023-02-24,987225.8727648192
288,2023-02-27,991555.955932849
289,2023-02-28,991609.7196983538
290,2023-03-01,994581.4116798297
291,2023-03-02,1010693.6603597117
292,2023-03-03,1025672.973490346
293,2023-03-06,1022748.2521010905
