date,ensemble
2022-04-04,1000000.0
2022-04-05,997164.9563531457
2022-04-06,994093.3489787672
2022-04-07,994151.8787681313
2022-04-08,992940.9002199898
2022-04-11,980721.163378174
2022-04-12,977848.9596808358
2022-04-13,989236.527973076
2022-04-14,982555.1677101518
2022-04-18,980153.2160224534
2022-04-19,995380.1277652476
2022-04-20,1002712.3709755592
2022-04-21,991373.6257305146
2022-04-22,969711.9872735596
2022-04-25,982170.1455011102
2022-04-26,961490.2874440156
2022-04-27,961873.4901282198
2022-04-28,982405.9216742328
2022-04-29,956099.115678734
2022-05-02,954525.8310027393
2022-05-03,955946.973311062
2022-05-04,981185.0328425332
2022-05-05,952042.9173535426
2022-05-06,955700.1087173426
2022-05-09,937301.7093523142
2022-05-10,936334.1492445414
2022-05-11,925581.829441128
2022-05-12,922216.4363049852
2022-05-13,934441.0003301164
2022-05-16,937962.7358546032
2022-05-17,948464.9439351542
2022-05-18,913048.0611237986
2022-05-19,905995.6589827694
2022-05-20,910558.5930013928
2022-05-23,925446.0941475031
2022-05-24,931422.1220742876
2022-05-25,935219.8891286548
2022-05-26,947808.538070885
2022-05-27,963607.4580933346
2022-05-31,955044.690813641
2022-06-01,957369.3428969044
2022-06-02,967955.991332314
2022-06-03,956772.8451234364
2022-06-06,961678.1387485357
2022-06-07,969972.2978979228
2022-06-08,960768.0175458912
2022-06-09,942623.4383453602
2022-06-10,921385.2890084196
2022-06-13,900961.9961598286
2022-06-14,893739.1866517873
2022-06-15,900592.5463368306
2022-06-16,881100.7149179425
2022-06-17,882788.1689927717
2022-06-21,902400.5074845318
2022-06-22,907788.1485620848
2022-06-23,917026.2814689794
2022-06-24,941056.4900172544
2022-06-27,943545.8268900724
2022-06-28,932893.4576820072
2022-06-29,935941.9338163688
2022-06-30,933441.1605480162
2022-07-01,941398.7643371358
2022-07-05,927702.7019453665
2022-07-06,937518.9899321218
2022-07-07,944250.7419107062
2022-07-08,944931.1800232552
2022-07-11,942784.2941821103
2022-07-12,931027.9517085844
