,date,account_value
0,2023-04-10,1000000.0
1,2023-04-11,999686.8206708852
2,2023-04-12,999090.5844575425
3,2023-04-13,1006398.1816359654
4,2023-04-14,999922.1391648866
5,2023-04-17,1006605.8325305139
6,2023-04-18,1006676.6855621567
7,2023-04-19,1011208.8127344743
8,2023-04-20,1005427.7516307755
9,2023-04-21,1006727.0380262376
10,2023-04-24,1006055.7998250963
11,2023-04-25,992623.0606357232
12,2023-04-26,994155.7783252373
13,2023-04-27,1011880.3178643151
14,2023-04-28,1020464.7715042992
15,2023-05-01,1015469.914542988
16,2023-05-02,1005296.7272073384
17,2023-05-03,996077.5340597879
18,2023-05-04,987179.5709939309
19,2023-05-05,1007164.7966279259
20,2023-05-08,1004813.1596964322
21,2023-05-09,1004826.0033240606
22,2023-05-10,1007690.2976443883
23,2023-05-11,1000957.1676958409
24,2023-05-12,999224.9599989263
25,2023-05-15,1002075.9476018868
26,2023-05-16,995019.2251258089
27,2023-05-17,1008252.4699607088
28,2023-05-18,1016045.5707946016
29,2023-05-19,1012350.7843297235
30,2023-05-22,1010934.4841054193
31,2023-05-23,1002628.3887150994
32,2023-05-24,993904.323170971
33,2023-05-25,997662.7490704766
34,2023-05-26,1010110.0701764337
35,2023-05-30,1012104.5886204949
36,2023-05-31,1006762.7996146127
37,2023-06-01,1008883.8280759812
38,2023-06-02,1027961.6074035417
39,2023-06-05,1023758.9257807694
40,2023-06-06,1025291.5915414945
41,2023-06-07,1027123.9532960072
42,2023-06-08,1033506.0280780202
43,2023-06-09,1033097.373727358
44,2023-06-12,1043133.8966010838
45,2023-06-13,1049773.3863696272
46,2023-06-14,1046876.9140905114
47,2023-06-15,1063433.1299456598
48,2023-06-16,1057997.9601582775
49,2023-06-20,1049529.984393551
50,2023-06-21,1043642.8618492604
51,2023-06-22,1048597.4876059666
52,2023-06-23,1041998.3897359868
53,2023-06-26,1038204.6215054685
54,2023-06-27,1048175.3826477567
55,2023-06-28,1045123.5132625962
56,2023-06-29,1048323.5122104818
57,2023-06-30,1061525.5898170206
58,2023-07-03,1059854.6785547123
59,2023-07-05,1058369.5879645788
60,2023-07-06,1052247.756666178
61,2023-07-07,1044743.4101371709
62,2023-07-10,1046384.4225387517
63,2023-07-11,1051909.9245338384
64,2023-07-12,1056269.9219437314
65,2023-07-13,1058523.170744505
66,2023-07-14,1060586.427874697
67,2023-07-17,1065437.2223321248
68,2023-07-18,1078919.0783099462
69,2023-07-19,1078057.2454811612
70,2023-07-20,1077494.6438191244
71,2023-07-21,1075639.4252409001
72,2023-07-24,1082065.2387639256
73,2023-07-25,1085326.5856260702
74,2023-07-26,1088580.9665263311
75,2023-07-27,1083398.379884165
76,2023-07-28,1095195.577306124
77,2023-07-31,1096516.373651457
78,2023-08-01,1098334.0446136647
79,2023-08-02,1084412.8260453206
80,2023-08-03,1081324.5115307828
81,2023-08-04,1073837.931285681
82,2023-08-07,1085102.6832634413
83,2023-08-08,1087653.894201998
84,2023-08-09,1082614.036693884
85,2023-08-10,1085653.6467768003
86,2023-08-11,1085971.8770949347
87,2023-08-14,1087843.4150092108
88,2023-08-15,1081836.6041856024
89,2023-08-16,1077547.2349381659
90,2023-08-17,1064402.932707331
91,2023-08-18,1067424.2894057408
92,2023-08-21,1070104.9240834638
93,2023-08-22,1069187.6848949797
94,2023-08-23,1078689.7167453747
95,2023-08-24,1059809.591100691
96,2023-08-25,1069148.7679920178
97,2023-08-28,1075384.9950084668
98,2023-08-29,1087811.8848784163
99,2023-08-30,1094213.9366438582
100,2023-08-31,1090231.0413551312
101,2023-09-01,1092961.6226120093
102,2023-09-05,1090109.500488291
103,2023-09-06,1077175.3213157752
104,2023-09-07,1075985.0313377478
105,2023-09-08,1080617.793029795
106,2023-09-11,1085866.9092903235
107,2023-09-12,1077782.1831703284
108,2023-09-13,1074034.037723551
109,2023-09-14,1084158.7699409276
110,2023-09-15,1073377.1243682653
111,2023-09-18,1073267.4851334477
112,2023-09-19,1072288.9457123661
113,2023-09-20,1068371.4569809819
114,2023-09-21,1059411.0603211308
115,2023-09-22,1057079.5101271344
116,2023-09-25,1059741.443308119
117,2023-09-26,1048122.3750893727
118,2023-09-27,1045147.0538568746
119,2023-09-28,1046786.5923178121
120,2023-09-29,1043367.5183966085
121,2023-10-02,1045539.5882360861
122,2023-10-03,1031538.6085751974
123,2023-10-04,1039949.9700724889
124,2023-10-05,1039722.2389704991
125,2023-10-06,1047191.4184863378
126,2023-10-09,1054262.8011615088
127,2023-10-10,1058367.1695201208
128,2023-10-11,1070623.5781352331
129,2023-10-12,1067233.4577815344
130,2023-10-13,1061196.506262522
131,2023-10-16,1069703.338911753
132,2023-10-17,1066797.6594645788
133,2023-10-18,1061096.9212481787
134,2023-10-19,1054617.3064830115
135,2023-10-20,1044545.0563914586
136,2023-10-23,1043902.7448336888
137,2023-10-24,1050392.4418394987
138,2023-10-25,1046990.7782576506
139,2023-10-26,1034731.287838976
140,2023-10-27,1030627.2204575749
141,2023-10-30,1044264.3284093725
142,2023-10-31,1046617.9777623998
143,2023-11-01,1060054.7092878208
144,2023-11-02,1075173.0191740056
145,2023-11-03,1080436.1179632207
146,2023-11-06,1085788.0993284245
147,2023-11-07,1090008.0751356145
148,2023-11-08,1091991.8688558599
149,2023-11-09,1083184.1785635015
150,2023-11-10,1099609.0284894963
151,2023-11-13,1100476.456643488
152,2023-11-14,1115941.4550870915
153,2023-11-15,1124482.599461939
154,2023-11-16,1114177.2998975774
155,2023-11-17,1108466.5249570867
156,2023-11-20,1120151.503594782
157,2023-11-21,1115009.8140195867
158,2023-11-22,1121321.0054182073
159,2023-11-24,1123470.661923792
160,2023-11-27,1123360.2959989568
161,2023-11-28,1130138.1218923589
162,2023-11-29,1125900.7186254521
163,2023-11-30,1135089.5645650884
164,2023-12-01,1138245.789304163
165,2023-12-04,1136744.8235372563
166,2023-12-05,1141936.0944189092
167,2023-12-06,1138244.2036909123
168,2023-12-07,1141344.069699671
169,2023-12-08,1145683.735322382
170,2023-12-11,1148405.2959531804
171,2023-12-12,1153777.3804945012
172,2023-12-13,1171258.1453374883
173,2023-12-14,1166233.0236066838
174,2023-12-15,1172119.787640955
