,date,account_value
0,2023-04-10,1000000.0
1,2023-04-11,1001092.5853330613
2,2023-04-12,998729.2847000124
3,2023-04-13,1008811.6942480089
4,2023-04-14,998733.0048649732
5,2023-04-17,1001338.7164865152
6,2023-04-18,1002146.6300218203
7,2023-04-19,997739.2094094241
8,2023-04-20,993321.6869656527
9,2023-04-21,994510.2308308566
10,2023-04-24,994473.5218808139
11,2023-04-25,983901.9439408267
12,2023-04-26,977387.8434922183
13,2023-04-27,994128.7412049258
14,2023-04-28,1004337.5926148379
15,2023-05-01,1001953.905749985
16,2023-05-02,988940.4365040744
17,2023-05-03,983317.7721287692
18,2023-05-04,973815.41485376
19,2023-05-05,990647.0340344394
20,2023-05-08,988375.5010735476
21,2023-05-09,986195.8191430056
22,2023-05-10,982601.075874039
23,2023-05-11,974896.8113533938
24,2023-05-12,976289.9228856051
25,2023-05-15,977785.3710057223
26,2023-05-16,965070.8713395083
27,2023-05-17,978807.8669068301
28,2023-05-18,983336.0256478274
29,2023-05-19,979167.3929326022
30,2023-05-22,979297.9989487613
31,2023-05-23,971353.5411469424
32,2023-05-24,960844.2355534518
33,2023-05-25,959572.3325592959
34,2023-05-26,971215.3255269015
35,2023-05-30,968860.9814488376
36,2023-05-31,963876.2006604159
37,2023-06-01,974630.6829087222
38,2023-06-02,1000701.1575657809
39,2023-06-05,993834.2316071475
40,2023-06-06,996140.9387585605
41,2023-06-07,998294.3669201816
42,2023-06-08,999958.592122742
43,2023-06-09,999864.6569497073
44,2023-06-12,1006521.9433342898
45,2023-06-13,1012898.5751664126
46,2023-06-14,1004470.4724175418
47,2023-06-15,1018221.0764862979
48,2023-06-16,1013618.9445359195
49,2023-06-20,1006456.1674668277
50,2023-06-21,1004809.9532944644
51,2023-06-22,1006329.633428284
52,2023-06-23,1000858.8923775638
53,2023-06-26,1002446.5476777041
54,2023-06-27,1009934.7410103763
55,2023-06-28,1004524.2305352176
56,2023-06-29,1012043.1060997928
