,date,account_value
0,2023-04-10,1000000.0
1,2023-04-11,1000160.6318058415
2,2023-04-12,1000061.3072801476
3,2023-04-13,1000803.1038969592
4,2023-04-14,1000959.1511327969
5,2023-04-17,1001258.5409501547
6,2023-04-18,1001174.8627859243
7,2023-04-19,1001037.9372263538
8,2023-04-20,1000025.5898718577
9,2023-04-21,999975.7617867307
10,2023-04-24,1000658.6663038644
11,2023-04-25,997601.141722842
12,2023-04-26,994576.1909544742
13,2023-04-27,997445.5014158732
14,2023-04-28,1000795.730202601
15,2023-05-01,1000218.96714543
16,2023-05-02,996064.2134787029
17,2023-05-03,994063.0153994317
18,2023-05-04,990579.2544455838
19,2023-05-05,997268.6532849964
20,2023-05-08,996460.4972474425
21,2023-05-09,995034.1777760986
22,2023-05-10,992778.6467500709
23,2023-05-11,988553.7439370158
24,2023-05-12,988276.1051097796
25,2023-05-15,990626.7220164626
26,2023-05-16,981825.9632712938
27,2023-05-17,988008.8908901331
28,2023-05-18,992527.729821133
29,2023-05-19,990691.7730459329
30,2023-05-22,986390.5320475828
31,2023-05-23,979525.4803993551
32,2023-05-24,971944.8769290717
33,2023-05-25,969439.2926956408
34,2023-05-26,975551.9487097629
35,2023-05-30,973566.9764410309
36,2023-05-31,969551.6630472072
37,2023-06-01,975328.2329387038
38,2023-06-02,1005003.668688044
39,2023-06-05,996938.3218383221
40,2023-06-06,1001984.3730446018
41,2023-06-07,1010689.5584342827
42,2023-06-08,1010671.13778307
43,2023-06-09,1010773.3852601742
44,2023-06-12,1018550.3298798031
45,2023-06-13,1031865.9510035518
46,2023-06-14,1034146.3739483723
47,2023-06-15,1048082.1397647442
48,2023-06-16,1047296.8739034733
49,2023-06-20,1033345.7957918895
50,2023-06-21,1032478.6332844662
51,2023-06-22,1029040.7057799572
52,2023-06-23,1021430.9519325909
53,2023-06-26,1024325.9153591885
54,2023-06-27,1031703.4190616574
55,2023-06-28,1031895.4630501217
56,2023-06-29,1039896.8548730587
57,2023-06-30,1046592.6778532185
58,2023-07-03,1048530.4495455289
59,2023-07-05,1044485.171637585
60,2023-07-06,1030875.0836283192
61,2023-07-07,1028236.568123793
62,2023-07-10,1041756.6383512024
63,2023-07-11,1050468.2082093568
64,2023-07-12,1054119.0146132186
65,2023-07-13,1058163.9778086417
66,2023-07-14,1055961.223007315
67,2023-07-17,1062201.1289996628
68,2023-07-18,1072694.6829093613
69,2023-07-19,1073392.7627324548
70,2023-07-20,1073660.6561379302
71,2023-07-21,1067996.1065794511
72,2023-07-24,1068785.1783318506
73,2023-07-25,1069576.499516043
74,2023-07-26,1066099.1937578567
75,2023-07-27,1055693.894721869
76,2023-07-28,1061846.8152324012
77,2023-07-31,1066588.0989734216
78,2023-08-01,1088711.7853769555
79,2023-08-02,1079982.670921778
80,2023-08-03,1073595.1086204818
81,2023-08-04,1069930.2977705826
