date,dji
2023-07-12,1000000.0
2023-07-13,1002925.862298967
2023-07-14,1001785.8494892331
2023-07-17,1013194.9330024404
2023-07-18,1008930.6430953917
2023-07-19,1011929.1954582317
2023-07-20,1011615.058078198
2023-07-21,1009244.5478672212
2023-07-24,1005957.7939391374
2023-07-25,1006622.9370996014
2023-07-26,1008601.0372697657
2023-07-27,998341.8524149791
2023-07-28,991524.9200729134
2023-07-31,1007135.0240615741
2023-08-01,1015233.5113057473
2023-08-02,1013850.1903142176
2023-08-03,1002918.186228222
2023-08-04,994870.5238767088
2023-08-07,986340.3158051809
2023-08-08,1002615.9118666123
2023-08-09,1000957.8805856935
2023-08-10,999264.2602495025
2023-08-11,998356.7393400603
2023-08-14,991752.4108968105
2023-08-15,991487.7027602104
2023-08-16,992916.2660474946
2023-08-17,982898.5285088687
2023-08-18,995064.984335582
2023-08-21,998493.1640519372
2023-08-22,995239.4404888774
2023-08-23,991069.5895128126
2023-08-24,984189.8529555605
2023-08-25,976579.9592447166
2023-08-28,975529.7913539298
2023-08-29,985316.1418812352
2023-08-30,983810.817886501
2023-08-31,979805.8861273513
2023-09-01,984370.2406180679
2023-09-05,1005247.4084829189
2023-09-06,999295.5460529935
2023-09-07,999605.8453976547
2023-09-08,1002337.2472377486
2023-09-11,1007356.8159844637
2023-09-12,1008642.2089219436
2023-09-13,1014285.7491769451
2023-09-14,1018626.567183239
2023-09-15,1011695.424212816
2023-09-18,1024460.3809494346
2023-09-19,1021216.892147368
2023-09-20,1013914.855395039
2023-09-21,1010867.4553092765
2023-09-22,1010724.2849594723
2023-09-25,1004195.437878548
2023-09-26,1003816.7517217951
2023-09-27,1010129.6220849394
2023-09-28,1007924.031090878
2023-09-29,1015955.8760844922
2023-10-02,1024446.7733694775
2023-10-03,1024770.3313817893
2023-10-04,1020904.8482411738
2023-10-05,1009996.3375838218
2023-10-06,1004417.2298014376
2023-10-09,1010655.4329309716
2023-10-10,1020094.4412570659
2023-10-11,1022655.2249792368
2023-10-12,1024075.7632834696
2023-10-13,1027466.7256871217
2023-10-16,1029739.0752358444
2023-10-17,1040653.5174024083
2023-10-18,1043907.2409654681
2023-10-19,1048789.2219592845
2023-10-20,1048864.0054969972
2023-10-23,1054328.902651024
2023-10-24,1055127.7955290144
2023-10-25,1057570.76319566
2023-10-26,1050502.3813846447
2023-10-27,1055759.5594121478
2023-10-30,1058744.1552827242
2023-10-31,1060862.5182001381
2023-11-01,1050496.4498754325
2023-11-02,1048512.6508042604
2023-11-03,1044038.5482968487
2023-11-06,1056171.6248462314
2023-11-07,1051448.2826478118
2023-11-08,1045757.6392314207
2023-11-09,1047329.3728685094
2023-11-10,1050463.070598102
2023-11-13,1051244.052644354
2023-11-14,1040488.5981854933
2023-11-15,1035109.8823711942
2023-11-16,1026448.3669682858
2023-11-17,1027217.4859961139
2023-11-20,1026116.7839729226
2023-11-21,1020910.4308380792
2023-11-22,1026393.3551279467
2023-11-24,1015271.077530757
2023-11-27,1022639.4076213381
2023-11-28,1028983.6800920755
2023-11-29,1037698.2301655858
2023-11-30,1038816.726716413
2023-12-01,1033804.950344545
2023-12-04,1037252.7854541716
2023-12-05,1031424.7868930859
2023-12-06,1025506.4200445934
2023-12-07,1027219.5794699534
2023-12-08,1029478.2051346167
2023-12-11,1032072.3681341182
2023-12-12,1031544.4638142466
2023-12-13,1029446.6867229216
2023-12-14,1039319.0441338014
2023-12-15,1030718.2394722399
2023-12-18,1030898.7434388495
2023-12-19,1027725.7349227142
2023-12-20,1025437.5680160928
2023-12-21,1014407.6358760472
2023-12-22,1011234.2784476054
2023-12-26,1012515.7170456108
2023-12-27,1000963.4631825989
2023-12-28,998920.697931613
2023-12-29,1002376.558024291
2024-01-02,997647.2843166593
2024-01-03,995439.5998487582
2024-01-04,982607.8845574786
2024-01-05,986394.2809086003
2024-01-08,986097.1239274872
2024-01-09,994672.2253824632
2024-01-10,1000539.7673382956
2024-01-11,1004548.8860451244
2024-01-12,1006501.1667046011
2024-01-16,1001328.5417593949
2024-01-17,1002494.141471612
2024-01-18,1011850.5738851466
2024-01-19,1012240.8904521194
2024-01-22,1002338.9917992816
2024-01-23,994868.5467069715
2024-01-24,986326.7082252238
2024-01-25,980643.7408795777
2024-01-26,986746.4497300524
2024-01-29,983606.8204912476
2024-01-30,976114.8591400312
2024-01-31,965196.4626339925
2024-02-01,980421.9489566882
2024-02-02,984111.2313824755
2024-02-05,990712.3033108638
2024-02-06,1007519.6417275391
2024-02-07,1014136.6473179285
2024-02-08,1015165.0081895534
2024-02-09,1016854.4415780652
2024-02-12,1015653.6017228826
2024-02-13,1009093.5851425697
2024-02-14,1020739.9290242587
2024-02-15,1022370.6288411611
2024-02-16,1036954.6980402411
2024-02-20,1041823.0714541001
2024-02-21,1040461.1504173747
2024-02-22,1040515.1155207942
2024-02-23,1046581.7700995876
2024-02-26,1044713.4610018971
2024-02-27,1050213.9472111962
2024-02-28,1053700.976803263
2024-02-29,1052013.4042803864
2024-03-01,1054499.8696812536
2024-03-04,1054900.0720969131
2024-03-05,1070396.430673625
2024-03-06,1079168.086061314
2024-03-07,1077945.6136431224
2024-03-08,1075567.1947531963
2024-03-11,1073479.1872064557
2024-03-12,1075353.4278133586
2024-03-13,1079238.6826513475
2024-03-14,1083914.9216883774
2024-03-15,1089066.1466787795
2024-03-18,1104319.1970736957
2024-03-19,1109026.8382183188
2024-03-20,1110718.248776568
2024-03-21,1110743.8356790512
2024-03-22,1118243.9383174216
2024-03-25,1104073.9117221625
2024-03-26,1113671.5588436534
2024-03-27,1113124.231738715
2024-03-28,1117868.9738919388
2024-04-01,1121179.5701609731
2024-04-02,1122774.9135308077
2024-04-03,1122162.6887368432
2024-04-04,1122921.9219159845
2024-04-05,1114440.9104796858
2024-04-08,1114743.0685371934
2024-04-09,1115510.3266993861
2024-04-10,1121968.3445820722
