,date,dji
0,2023-07-12,1000000.0
1,2023-07-13,1002925.862298967
2,2023-07-14,1001785.8494892331
3,2023-07-17,1013194.9330024404
4,2023-07-18,1008930.6430953917
5,2023-07-19,1011929.1954582317
6,2023-07-20,1011615.058078198
7,2023-07-21,1009244.5478672212
8,2023-07-24,1005957.7939391374
9,2023-07-25,1006622.9370996014
10,2023-07-26,1008601.0372697657
11,2023-07-27,998341.8524149791
12,2023-07-28,991524.9200729134
13,2023-07-31,1007135.0240615741
14,2023-08-01,1015233.5113057473
15,2023-08-02,1013850.1903142176
16,2023-08-03,1002918.186228222
17,2023-08-04,994870.5238767088
18,2023-08-07,986340.3158051809
19,2023-08-08,1002615.9118666123
20,2023-08-09,1000957.8805856935
21,2023-08-10,999264.2602495025
22,2023-08-11,998356.7393400603
23,2023-08-14,991752.4108968105
24,2023-08-15,991487.7027602104
25,2023-08-16,992916.2660474946
26,2023-08-17,982898.5285088687
27,2023-08-18,995064.984335582
28,2023-08-21,998493.1640519372
29,2023-08-22,995239.4404888774
30,2023-08-23,991069.5895128126
31,2023-08-24,984189.8529555605
32,2023-08-25,976579.9592447166
33,2023-08-28,975529.7913539298
34,2023-08-29,985316.1418812352
35,2023-08-30,983810.817886501
36,2023-08-31,979805.8861273513
37,2023-09-01,984370.2406180679
38,2023-09-05,1005247.4084829189
39,2023-09-06,999295.5460529935
40,2023-09-07,999605.8453976547
41,2023-09-08,1002337.2472377486
42,2023-09-11,1007356.8159844637
43,2023-09-12,1008642.2089219436
44,2023-09-13,1014285.7491769451
45,2023-09-14,1018626.567183239
46,2023-09-15,1011695.424212816
47,2023-09-18,1024460.3809494346
48,2023-09-19,1021216.892147368
49,2023-09-20,1013914.855395039
50,2023-09-21,1010867.4553092765
51,2023-09-22,1010724.2849594723
52,2023-09-25,1004195.437878548
53,2023-09-26,1003816.7517217951
54,2023-09-27,1010129.6220849394
55,2023-09-28,1007924.031090878
56,2023-09-29,1015955.8760844922
57,2023-10-02,1024446.7733694775
58,2023-10-03,1024770.3313817893
59,2023-10-04,1020904.8482411738
60,2023-10-05,1009996.3375838218
61,2023-10-06,1004417.2298014376
62,2023-10-09,1010655.4329309716
63,2023-10-10,1020094.4412570659
64,2023-10-11,1022655.2249792368
65,2023-10-12,1024075.7632834696
66,2023-10-13,1027466.7256871217
67,2023-10-16,1029739.0752358444
68,2023-10-17,1040653.5174024083
69,2023-10-18,1043907.2409654681
70,2023-10-19,1048789.2219592845
71,2023-10-20,1048864.0054969972
72,2023-10-23,1054328.902651024
73,2023-10-24,1055127.7955290144
74,2023-10-25,1057570.76319566
75,2023-10-26,1050502.3813846447
76,2023-10-27,1055759.5594121478
77,2023-10-30,1058744.1552827242
78,2023-10-31,1060862.5182001381
79,2023-11-01,1050496.4498754325
80,2023-11-02,1048512.6508042604
81,2023-11-03,1044038.5482968487
82,2023-11-06,1056171.6248462314
83,2023-11-07,1051448.2826478118
84,2023-11-08,1045757.6392314207
85,2023-11-09,1047329.3728685094
86,2023-11-10,1050463.070598102
87,2023-11-13,1051244.052644354
88,2023-11-14,1040488.5981854933
89,2023-11-15,1035109.8823711942
90,2023-11-16,1026448.3669682858
91,2023-11-17,1027217.4859961139
92,2023-11-20,1026116.7839729226
93,2023-11-21,1020910.4308380792
94,2023-11-22,1026393.3551279467
95,2023-11-24,1015271.077530757
96,2023-11-27,1022639.4076213381
97,2023-11-28,1028983.6800920755
98,2023-11-29,1037698.2301655858
99,2023-11-30,1038816.726716413
100,2023-12-01,1033804.950344545
101,2023-12-04,1037252.7854541716
102,2023-12-05,1031424.7868930859
103,2023-12-06,1025506.4200445934
104,2023-12-07,1027219.5794699534
105,2023-12-08,1029478.2051346167
106,2023-12-11,1032072.3681341182
107,2023-12-12,1031544.4638142466
