date,ensemble
2023-07-12,1000000.0
2023-07-13,999935.5556808471
2023-07-14,997741.8665439608
2023-07-17,999264.168179512
2023-07-18,1002485.8093662264
2023-07-19,1006963.9888708228
2023-07-20,1006656.9744385262
2023-07-21,1003820.3099585152
2023-07-24,1010571.254977272
2023-07-25,1008365.5574515152
2023-07-26,1023277.577234566
2023-07-27,1018189.92093116
2023-07-28,1027412.5805533524
2023-07-31,1035058.4433577652
2023-08-01,1043813.7799628372
2023-08-02,1029400.0719740984
2023-08-03,1025609.6039145584
2023-08-04,1018317.8382399676
2023-08-07,1030366.5173514482
2023-08-08,1027750.3461707232
2023-08-09,1023024.1813376542
2023-08-10,1025890.9932807084
2023-08-11,1026521.0846999284
2023-08-14,1030622.8562033768
2023-08-15,1012022.0736830828
2023-08-16,1005430.2736380692
2023-08-17,995596.1028693316
2023-08-18,999347.8966582414
2023-08-21,1001846.7940886612
2023-08-22,997934.688371956
2023-08-23,1003783.8627265092
2023-08-24,982790.086847603
2023-08-25,995574.4601615068
2023-08-28,1003538.4023116227
2023-08-29,1011954.9374030228
2023-08-30,1017752.0633109208
2023-08-31,1013948.7166274186
2023-09-01,1018896.7800963518
2023-09-05,1010250.0027297136
2023-09-06,1005371.7253630754
2023-09-07,1000705.2472975848
2023-09-08,999183.6448538896
2023-09-11,998891.4503653642
2023-09-12,999313.9779914018
2023-09-13,991863.4830878372
2023-09-14,998646.0392249224
2023-09-15,992421.6317504044
2023-09-18,993214.5133269426
2023-09-19,989523.4486525652
2023-09-20,982496.9503958818
2023-09-21,968155.9891188736
2023-09-22,963529.574575722
2023-09-25,966419.5359862444
2023-09-26,953384.8755591508
2023-09-27,955570.8843978044
2023-09-28,956668.407057106
2023-09-29,954288.435964882
2023-10-02,950194.0446150895
2023-10-03,944574.869520485
2023-10-04,943037.8191702958
2023-10-05,943206.255457222
2023-10-06,952739.1269248124
2023-10-09,959006.682424843
2023-10-10,966411.1787627336
2023-10-11,968699.207217331
2023-10-12,963840.1323322792
2023-10-13,959004.8651721956
2023-10-16,964966.9261217272
2023-10-17,964646.9645394116
2023-10-18,953533.8767061732
2023-10-19,944180.3052843972
2023-10-20,933314.8267382472
2023-10-23,926639.2545852473
2023-10-24,933717.6383056756
2023-10-25,923107.326214436
2023-10-26,917750.0614711916
2023-10-27,906238.8275814974
2023-10-30,917737.2828807376
2023-10-31,916238.5545211872
2023-11-01,926329.7194642453
2023-11-02,944665.0747944376
2023-11-03,954104.6109256556
2023-11-06,957022.5017782708
2023-11-07,953705.3666514284
2023-11-08,956313.5544236528
2023-11-09,945523.384152058
2023-11-10,958839.390313786
2023-11-13,966849.8818871616
2023-11-14,980914.8113025324
2023-11-15,989838.5754673884
2023-11-16,987549.9083796694
2023-11-17,986562.3624709628
2023-11-20,987100.1640422596
2023-11-21,986165.2650039828
2023-11-22,988825.2640892548
2023-11-24,991009.7488806898
2023-11-27,989732.222565348
2023-11-28,990820.8508548186
2023-11-29,994733.914617346
2023-11-30,1011955.2074020026
2023-12-01,1028332.2121787666
2023-12-04,1027470.2871796248
2023-12-05,1024535.9443221382
2023-12-06,1023597.01120373
2023-12-07,1023911.3114070497
2023-12-08,1024440.5181754668
2023-12-11,1034730.7338051056
2023-12-12,1040451.4504509452
2023-12-13,1059636.708336573
2023-12-14,1058607.669828669
2023-12-15,1060154.1876593994
2023-12-18,1056216.5041200318
2023-12-19,1064472.9919110856
2023-12-20,1052098.3877097075
2023-12-21,1061826.3890972731
2023-12-22,1060980.7029035783
2023-12-26,1063043.5348612885
2023-12-27,1067303.1619266304
2023-12-28,1070562.1495157266
2023-12-29,1069802.597075785
2024-01-02,1081848.9459542031
2024-01-03,1077792.6746330666
2024-01-04,1081734.8981436903
2024-01-05,1083700.3034237504
2024-01-08,1094987.4122572313
2024-01-09,1083727.7771428972
2024-01-10,1083233.629086867
2024-01-11,1079099.1030182978
2024-01-12,1084979.4621374002
2024-01-16,1072598.4346535136
2024-01-17,1072536.1398445077
2024-01-18,1077507.3644948069
2024-01-19,1091512.5067792002
2024-01-22,1097944.914421565
2024-01-23,1098490.7581944529
2024-01-24,1087504.4312748972
2024-01-25,1106862.327194697
2024-01-26,1110277.1066403452
