date,a2c,ddpg,ppo,mean var,dji,ensemble
2023-07-12,1056269.9219437314,1016928.0847527469,1054119.0146132186,1070030.1801057295,1000000.0,1000000.0
2023-07-13,1058523.170744505,1018111.0857483828,1058163.9778086417,1073675.1507944902,1002925.862298967,999935.5556808471
2023-07-14,1060586.427874697,1026161.229509064,1055961.223007315,1089369.074379775,1001785.8494892331,997741.8665439608
2023-07-17,1065437.2223321248,1029567.201711365,1062201.1289996628,1094446.564227003,1013194.9330024404,999264.168179512
2023-07-18,1078919.0783099462,1044219.7744957888,1072694.6829093613,1115146.4094753054,1008930.6430953917,1002485.8093662264
2023-07-19,1078057.2454811612,1046001.2814042056,1073392.7627324548,1113900.5895149028,1011929.1954582317,1006963.9888708228
2023-07-20,1077494.6438191244,1045012.6855408633,1073660.6561379302,1108713.4865964225,1011615.058078198,1006656.9744385262
2023-07-21,1075639.4252409001,1041676.2066323245,1067996.1065794511,1105843.4922438045,1009244.5478672212,1003820.3099585152
2023-07-24,1082065.2387639256,1044591.0102402652,1068785.1783318506,1109295.621463206,1005957.7939391374,1010571.254977272
2023-07-25,1085326.5856260702,1048064.4187523806,1069576.499516043,1115966.2695519037,1006622.9370996014,1008365.5574515152
2023-07-26,1088580.9665263311,1046512.7152306521,1066099.1937578567,1102023.8755301184,1008601.0372697657,1023277.577234566
2023-07-27,1083398.379884165,1035335.637296387,1055693.894721869,1092056.5540117938,998341.8524149791,1018189.92093116
2023-07-28,1095195.577306124,1042120.5098549807,1061846.8152324012,1103081.483731003,991524.9200729134,1027412.5805533524
2023-07-31,1096516.373651457,1047443.7125184024,1066588.0989734216,1104090.7617238043,1007135.0240615741,1035058.4433577652
2023-08-01,1098334.0446136647,1052523.4175469363,1088711.7853769555,1108484.9122585931,1015233.5113057473,1043813.7799628372
2023-08-02,1084412.8260453206,1042451.6194550479,1079982.670921778,1096431.0262076238,1013850.1903142176,1029400.0719740984
2023-08-03,1081324.5115307828,1039417.4193551028,1073595.1086204818,1092613.7837929467,1002918.186228222,1025609.6039145584
2023-08-04,1073837.931285681,1037544.3911835635,1069930.2977705826,1079309.6611088286,994870.5238767088,1018317.8382399676
2023-08-07,1085102.6832634413,1050046.090558716,1086595.4423289017,1086897.7057863493,986340.3158051809,1030366.5173514482
2023-08-08,1087653.894201998,1046412.7130181277,1087092.0109595093,1082428.2032585081,1002615.9118666123,1027750.3461707232
2023-08-09,1082614.036693884,1042290.2770440066,1085974.6814004348,1075928.7752866806,1000957.8805856935,1023024.1813376542
2023-08-10,1085653.6467768003,1045358.1680581057,1086151.7906155228,1076107.7760503155,999264.2602495025,1025890.9932807084
2023-08-11,1085971.8770949347,1048650.9260956729,1090533.374943892,1078753.3252651743,998356.7393400603,1026521.0846999284
2023-08-14,1087843.4150092108,1049051.1457726443,1089128.3900338577,1083955.6735881015,991752.4108968105,1030622.8562033768
2023-08-15,1081836.6041856024,1039519.3822953189,1076866.0375392633,1074739.2172596816,991487.7027602104,1012022.0736830828
2023-08-16,1077547.2349381659,1035197.3095833743,1068629.3477220864,1070351.1381329705,992916.2660474946,1005430.2736380692
2023-08-17,1064402.932707331,1027520.4959313357,1064464.0409561105,1056425.989939505,982898.5285088687,995596.1028693316
2023-08-18,1067424.2894057408,1028130.3374802554,1062750.5817466453,1060205.9711226167,995064.984335582,999347.8966582414
2023-08-21,1070104.9240834638,1027340.3014924014,1059179.0703523392,1065609.1869139983,998493.1640519372,1001846.7940886612
2023-08-22,1069187.6848949797,1021654.9236428225,1051198.652909819,1062987.9473822669,995239.4404888774,997934.688371956
2023-08-23,1078689.7167453747,1025944.5498101199,1055838.509173613,1075142.6926394466,991069.5895128126,1003783.8627265092
2023-08-24,1059809.591100691,1016151.687574097,1045934.9750752281,1059495.4289712387,984189.8529555605,982790.086847603
2023-08-25,1069148.7679920178,1021830.5788781131,1054039.0272436698,1068139.340257315,976579.9592447166,995574.4601615068
2023-08-28,1075384.9950084668,1028962.921418854,1059228.8952106193,1071969.8779283646,975529.7913539298,1003538.4023116227
2023-08-29,1087811.8848784163,1038351.8902871097,1071329.9157014375,1084858.9106018723,985316.1418812352,1011954.9374030228
2023-08-30,1094213.9366438582,1039181.2325188601,1073272.8754388718,1090650.95785085,983810.817886501,1017752.0633109208
2023-08-31,1090231.0413551312,1032492.9408280337,1067974.1399392304,1084267.7858162026,979805.8861273513,1013948.7166274186
