account_rewards,date
-1.8323302690405399,2021-04-06
3548.7692408906296,2021-04-07
21332.30906042084,2021-04-08
-530.3830639952794,2021-04-09
-5316.572230800521,2021-04-12
3723.427250007633,2021-04-13
13128.46319532767,2021-04-14
6856.677951785969,2021-04-15
-4687.30079601286,2021-04-16
1217.872425575275,2021-04-19
16386.588259998476,2021-04-20
-9957.691982830176,2021-04-21
2228.8985585861374,2021-04-22
-9653.218423950253,2021-04-23
-3391.0131817015354,2021-04-26
606.7897881697863,2021-04-27
10254.842453643912,2021-04-28
-8679.398820793256,2021-04-29
11846.95650479896,2021-04-30
10087.208730411483,2021-05-03
3707.811686550267,2021-05-04
10852.004458675394,2021-05-05
2750.913798423717,2021-05-06
9017.678387680091,2021-05-07
-17718.869363727514,2021-05-10
-26302.8805057907,2021-05-11
19923.87580948253,2021-05-12
7728.403742572758,2021-05-13
396.82164691155776,2021-05-14
-8491.981789638521,2021-05-17
-4459.035464485176,2021-05-18
3381.524094581604,2021-05-19
5032.016500438796,2021-05-20
3276.428962837206,2021-05-21
-3250.6985080109444,2021-05-24
-793.8842345350422,2021-05-25
10449.097374214092,2021-05-26
-651.9963086966891,2021-05-27
-1705.1859516678378,2021-05-28
741.5900745543186,2021-06-01
-698.6464065168984,2021-06-02
6096.2136026001535,2021-06-03
-8619.285104019335,2021-06-04
1979.8428095055278,2021-06-07
-1563.7551236953586,2021-06-08
-452.1989645003341,2021-06-09
-3668.1717985877767,2021-06-10
-5846.377607902512,2021-06-11
-3414.0461315994617,2021-06-14
-14212.302620430011,2021-06-15
-9163.196133720456,2021-06-16
-19253.543058700394,2021-06-17
20880.856370101916,2021-06-18
-726.9337329559494,2021-06-21
-9731.794659225503,2021-06-22
9131.978002555901,2021-06-23
8473.887078910833,2021-06-24
-3069.3225184823386,2021-06-25
-1012.8438172340393,2021-06-28
10768.47305086907,2021-06-29
4469.847383937798,2021-06-30
-911.1781228485052,2021-07-01
