date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,-18,0,0,19,-14,0,100
2023-04-06,0,0,0,0,0,0,1,0,1,0,0,-82,0,0,0,0,-100,-100,0,100,0,0,-35,44,100,-61,-41,0,0
2023-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,-29,0,0,0,0,-45,1,29,0,-100,0,100
2023-04-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-57,-70,5,0,0,0,0,0,85,-100,-100,0,100
2023-04-12,0,0,0,0,0,0,-2,0,0,0,0,0,0,3,0,0,-100,0,-5,1,0,0,0,0,19,1,-100,0,0
2023-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-30,-7,0,0,0,0,2,0,0,0,-41,0,100
2023-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,0,-27,0,74
2023-04-17,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-100,-100,0,0,0,0,-71,0,80,0,0,0,100
2023-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,-100,0,0,50,0,0,100,0,-21,0,-100,0,1
2023-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-72,0,1,0,0,0,0,97,-82,-35,0,0
2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,3,0,0,0,0,9,0,-100,0,100
2023-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-100,1,0,0,0,0,0,0,9,0,-100,0,100
2023-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-100,1,0,0,0,0,0,0,7,0,-74,0,100
2023-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-100,-2,0,3,0,0,-35,0,68,-100,-100,0,100
2023-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-20,-68,0,0,0,0,0,0,39,1,-100,0,100
2023-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-100,0,0,2,0,0,-78,0,34,0,-98,0,100
2023-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-100,1,0,1,0,0,0,0,9,0,-100,0,100
2023-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,-39,0,0,0,0,0,0,0,38,100,0,100
2023-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-100,0,0,1,0,0,0,0,9,1,-100,0,100
2023-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-100,0,0,0,0,0,0,0,25,-33,-100,0,100
2023-05-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,9,1,-100,0,100
2023-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-100,-21,0,0,0,0,0,0,15,1,-9,0,100
2023-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-100,0,0,1,0,0,0,0,5,1,-48,0,100
2023-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-100,0,0,0,0,0,0,1,9,-3,-81,0,100
2023-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,-82,0,0,1,0,0,0,0,7,0,-97,0,100
2023-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,2,0,0,0,0,9,0,-100,0,100
2023-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-24,0,0,0,0,0,0,24,2,-100,0,-12
2023-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,68
2023-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,0,3,0,0,0,0,20,0,-100,0,100
2023-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,56,1,-100,0,100
2023-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,0,0,0,0,0,0,23,0,-100,0,100
2023-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-46,0,32
2023-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-13,0,0,0,0,0,0,4,1,-100,0,100
2023-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42,0,1,0,0,0,0,0,45,-100,0,100
2023-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,45,1,-93,0,100
2023-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,68
2023-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51,0,1,0,0,1,0,26,0,-100,0,100
2023-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,0,0,0,0,0,0,12,1,-100,0,100
2023-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,60
2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,3
2023-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,11
2023-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
