,account_value,date,daily_return,datadate
0,1000000.0,2022-07-13,,2020-10-30
1,999663.5425907136,2022-07-14,-0.0003364574092863,2020-11-02
2,1008281.3350078583,2022-07-15,0.0086206929131484,2020-11-03
3,1002969.6919052126,2022-07-18,-0.005268016889953,2020-11-04
4,1020530.2644268036,2022-07-19,0.0175085774408931,2020-11-05
5,1018862.8446174624,2022-07-20,-0.0016338759049717,2020-11-06
6,1024688.9197231294,2022-07-21,0.0057182133360202,2020-11-09
7,1019519.0375180208,2022-07-22,-0.0050453187358613,2020-11-10
8,1018623.5771603548,2022-07-25,-0.0008783164656208,2020-11-11
9,1018081.3691525422,2022-07-26,-0.0005322947749982,2020-11-12
10,1031686.5968441926,2022-07-27,0.0133635955866429,2020-11-13
11,1045524.7709774934,2022-07-28,0.0134131568401005,2020-11-16
12,1046004.3816342317,2022-07-29,0.0004587272057552,2020-11-17
13,1044958.392759598,2022-08-01,-0.0009999851750138,2020-11-18
14,1043224.5686861878,2022-08-02,-0.0016592278557916,2020-11-19
15,1048301.54970578,2022-08-03,0.0048666233253937,2020-11-20
16,1046604.522524536,2022-08-04,-0.0016188349446971,2020-11-23
17,1044595.566360748,2022-08-05,-0.0019194988370029,2020-11-24
18,1046920.0488509062,2022-08-08,0.0022252463680811,2020-11-25
19,1040943.2697485808,2022-08-09,-0.0057089164629959,2020-11-27
20,1054645.8149705236,2022-08-10,0.0131635850100191,2020-11-30
21,1051843.5668740575,2022-08-11,-0.0026570513595072,2020-12-01
22,1070298.054880649,2022-08-12,0.0175448979180774,2020-12-02
23,1076234.815470249,2022-08-15,0.0055468292804303,2020-12-03
24,1079799.76442197,2022-08-16,0.0033124267125326,2020-12-04
25,1071585.8984628026,2022-08-17,-0.0076068417773405,2020-12-07
26,1070814.933199436,2022-08-18,-0.0007194619343839,2020-12-08
27,1063775.9800210302,2022-08-19,-0.0065734544412584,2020-12-09
28,1045564.3334260292,2022-08-22,-0.0171198136985957,2020-12-10
29,1036460.7323708838,2022-08-23,-0.0087068779644723,2020-12-11
30,1041977.7517190285,2022-08-24,0.0053229410201816,2020-12-14
31,1047969.5131478612,2022-08-25,0.005750373670597,2020-12-15
32,1014817.7492699928,2022-08-26,-0.0316342827362299,2020-12-16
33,1008358.7125268286,2022-08-29,-0.0063647258316188,2020-12-17
34,997636.5684666936,2022-08-30,-0.0106332636659294,2020-12-18
35,988538.5260262792,2022-08-31,-0.0091195959811272,2020-12-21
36,991169.6462560004,2022-09-01,0.002661626391333,2020-12-22
37,979689.7097249336,2022-09-02,-0.0115822115562463,2020-12-23
38,975440.001438648,2022-09-06,-0.0043378104762155,2020-12-24
39,990437.3543496436,2022-09-07,0.0153749619544782,2020-12-28
40,998056.8722024268,2022-09-08,0.0076930840898932,2020-12-29
41,1006473.0526337927,2022-09-09,0.0084325659847357,2020-12-30
42,1017221.9886727636,2022-09-12,0.01067980509845,2020-12-31
43,979457.905756504,2022-09-13,-0.0371247213850862,2021-01-04
44,981399.7793336218,2022-09-14,0.0019826003401526,2021-01-05
45,981048.3810849494,2022-09-15,-0.0003580582103972,2021-01-06
46,974241.9648175545,2022-09-16,-0.0069379007178705,2021-01-07
47,979580.0814423864,2022-09-19,0.0054792513745103,2021-01-08
48,972232.924227268,2022-09-20,-0.0075003129956461,2021-01-11
49,953969.7425408668,2022-09-21,-0.0187847800987782,2021-01-12
50,954026.4665589636,2022-09-22,5.946102435694378e-05,2021-01-13
51,939956.3561063115,2022-09-23,-0.0147481342979937,2021-01-14
52,931016.3659406012,2022-09-26,-0.0095110694317165,2021-01-15
53,924750.1376843756,2022-09-27,-0.0067305242801987,2021-01-19
54,937986.4466061896,2022-09-28,0.0143133895118505,2021-01-20
55,919542.399431736,2022-09-29,-0.0196634474210024,2021-01-21
56,899030.5120396918,2022-09-30,-0.0223066249089983,2021-01-22
57,920534.9384579962,2022-10-03,0.0239195735075952,2021-01-25
58,944043.760607273,2022-10-04,0.0255382182328209,2021-01-26
59,946378.4341359442,2022-10-05,0.0024730564684516,2021-01-27
60,933253.2029023474,2022-10-06,-0.0138689035592619,2021-01-28
61,911917.2581544226,2022-10-07,-0.0228619035879776,2021-01-29
62,908921.9050393408,2022-10-10,-0.0032846764202532,2021-02-01
63,909235.8750405615,2022-10-11,,2021-02-02
64,908494.839938011,2022-10-12,-0.0008150086494524,2021-02-03
65,930487.527293825,2022-10-13,0.0242078285852616,2021-02-04
66,924208.7098324985,2022-10-14,-0.0067478792322853,2021-02-05
67,941373.6828328932,2022-10-17,0.0185726154901804,2021-02-08
68,951326.5117842712,2022-10-18,0.0105726653855742,2021-02-09
69,947287.3352371024,2022-10-19,-0.0042458362056922,2021-02-10
70,948405.396657032,2022-10-20,0.0011802769638524,2021-02-11
