,date,account_value
0,2022-04-11,1000000.0
1,2022-04-12,999917.4862351457
2,2022-04-13,1002139.5233264276
3,2022-04-14,1000852.9389651109
4,2022-04-18,1002061.4818208467
5,2022-04-19,1003621.2395363961
6,2022-04-20,1008097.6060903436
7,2022-04-21,998300.7828664322
8,2022-04-22,979911.137748787
9,2022-04-25,984119.4422292939
10,2022-04-26,962734.7862477264
11,2022-04-27,954538.6180428162
12,2022-04-28,975354.1738426895
13,2022-04-29,946785.7363546677
14,2022-05-02,943298.9513309784
15,2022-05-03,948827.3152610168
16,2022-05-04,974383.8508850823
17,2022-05-05,948156.5564286003
18,2022-05-06,949273.3725411186
19,2022-05-09,920961.4148766289
20,2022-05-10,923563.8505493889
21,2022-05-11,913581.3013207207
22,2022-05-12,903497.6418567925
23,2022-05-13,918897.8148372002
24,2022-05-16,921301.5680301018
25,2022-05-17,937320.9660403557
26,2022-05-18,900037.6531546632
27,2022-05-19,884115.590265564
28,2022-05-20,883028.2513907471
29,2022-05-23,906659.7859976807
30,2022-05-24,906308.5595496217
31,2022-05-25,913204.5835059205
32,2022-05-26,928732.4330542603
33,2022-05-27,947459.1925375977
34,2022-05-31,942735.4027579346
35,2022-06-01,934591.868189148
36,2022-06-02,947388.266870697
37,2022-06-03,936519.136180954
38,2022-06-06,939129.5067422333
39,2022-06-07,949225.4096945038
40,2022-06-08,940071.3968598786
41,2022-06-09,917783.3044515076
42,2022-06-10,897671.797933197
43,2022-06-13,868332.1378765411
44,2022-06-14,863790.0459766693
45,2022-06-15,867868.1303959198
46,2022-06-16,841553.124734909
47,2022-06-17,843858.4293918915
48,2022-06-21,860353.4084186859
49,2022-06-22,857826.1906109161
50,2022-06-23,851599.8025913544
51,2022-06-24,874568.5145817108
52,2022-06-27,874144.4919796295
53,2022-06-28,867075.0767498321
54,2022-06-29,863542.3926268616
55,2022-06-30,861322.5416758308
56,2022-07-01,873696.1562879295
57,2022-07-05,864069.6395602188
58,2022-07-06,864882.5895720292
59,2022-07-07,874770.5029898454
60,2022-07-08,873318.3895464707
61,2022-07-11,868854.7615738907
62,2022-07-12,864179.2025863419
63,2022-07-13,859974.3427703476
64,2022-07-14,849757.7554328537
65,2022-07-15,863331.6442687607
66,2022-07-18,858900.3198134995
67,2022-07-19,880740.4450139123
68,2022-07-20,882656.1531002579
69,2022-07-21,883865.641757782
70,2022-07-22,885679.9546049194
71,2022-07-25,892600.5487669067
72,2022-07-26,888756.27308255
73,2022-07-27,896758.6451070862
74,2022-07-28,901138.2373693542
75,2022-07-29,913323.1030805664
76,2022-08-01,913640.5238687134
77,2022-08-02,905455.633072052
78,2022-08-03,916711.9547196961
79,2022-08-04,912569.9294854737
80,2022-08-05,915370.2412454224
81,2022-08-08,916427.0675927735
82,2022-08-09,922478.829090271
83,2022-08-10,936247.3429566956
84,2022-08-11,942211.7576041565
85,2022-08-12,955110.5982795105
86,2022-08-15,956843.5155310974
87,2022-08-16,960669.7912039529
88,2022-08-17,958335.3840842019
89,2022-08-18,962455.5889754067
90,2022-08-19,953063.0956328049
91,2022-08-22,936664.3944113388
92,2022-08-23,936024.2227676087
93,2022-08-24,939755.8661143151
94,2022-08-25,949381.4271799889
95,2022-08-26,928192.6501261559
96,2022-08-29,922686.9603831139
97,2022-08-30,911858.3635546532
98,2022-08-31,900821.7777201501
99,2022-09-01,901003.8758990136
100,2022-09-02,895253.6428228721
101,2022-09-06,890425.6341019555
102,2022-09-07,901326.8011538754
103,2022-09-08,905793.1591779537
104,2022-09-09,918333.4445363827
105,2022-09-12,932392.5478879757
106,2022-09-13,900926.3464795895
107,2022-09-14,908345.0657064266
108,2022-09-15,903301.8580667324
109,2022-09-16,892602.0694391079
110,2022-09-19,900418.866167242
111,2022-09-20,894361.7841092892
112,2022-09-21,876582.4409314938
113,2022-09-22,866989.4746877499
114,2022-09-23,847287.1043588467
115,2022-09-26,833660.6928140469
116,2022-09-27,829126.7324411221
117,2022-09-28,841240.3405649014
118,2022-09-29,826595.4679929562
119,2022-09-30,812591.5304033108
120,2022-10-03,838934.9193460293
121,2022-10-04,863881.1661512203
122,2022-10-05,861732.8269578762
123,2022-10-06,854772.1459523983
124,2022-10-07,838143.6504308529
125,2022-10-10,835401.8959409542
126,2022-10-11,837347.4061358357
127,2022-10-12,835669.2598044301
128,2022-10-13,865489.0216561947
129,2022-10-14,848331.5380197964
130,2022-10-17,863796.3071466885
131,2022-10-18,875567.3321787319
132,2022-10-19,886920.633463522
133,2022-10-20,881686.4591967068
134,2022-10-21,895889.4548598347
135,2022-10-24,904742.7585726796
136,2022-10-25,914665.85071097
137,2022-10-26,912227.265194994
138,2022-10-27,916551.3380250874
139,2022-10-28,941717.5411815052
140,2022-10-31,940019.3926448231
141,2022-11-01,936424.8616618519
142,2022-11-02,922896.0002345447
143,2022-11-03,918729.6828364735
144,2022-11-04,932853.0598773365
145,2022-11-07,944221.3501605396
146,2022-11-08,951684.2520923023
147,2022-11-09,930295.5454539661
148,2022-11-10,960263.5658702259
149,2022-11-11,964201.69270891
150,2022-11-14,961927.7775638752
151,2022-11-15,959334.034773653
152,2022-11-16,957539.4046734028
153,2022-11-17,958963.8286274128
154,2022-11-18,965270.6793201618
155,2022-11-21,965461.0090091877
156,2022-11-22,976654.9816425495
157,2022-11-23,977639.3495739155
158,2022-11-25,978953.7296550922
159,2022-11-28,961267.7747520504
160,2022-11-29,966684.0280102291
161,2022-11-30,986464.1733664913
162,2022-12-01,983931.4955020351
163,2022-12-02,985490.8485469494
164,2022-12-05,975755.7169562054
165,2022-12-06,966453.3368368817
166,2022-12-07,965204.8195028973
167,2022-12-08,970449.3307331677
168,2022-12-09,961563.9384901715
169,2022-12-12,976301.6003575154
170,2022-12-13,979522.7363260288
171,2022-12-14,973207.714036253
172,2022-12-15,953853.5442178174
173,2022-12-16,942314.4841731968
174,2022-12-19,940584.3577999058
175,2022-12-20,947730.9301418248
176,2022-12-21,960232.3187412205
177,2022-12-22,948655.3015369358
178,2022-12-23,959244.3488918552
179,2022-12-27,961106.9147926769
180,2022-12-28,947575.945320097
181,2022-12-29,957659.5023271466
182,2022-12-30,956287.3297387982
183,2023-01-03,949495.5561112995
184,2023-01-04,955896.3160447712
185,2023-01-05,949214.8665127811
186,2023-01-06,973288.0781207142
187,2023-01-09,964605.395909361
188,2023-01-10,969894.525155119
189,2023-01-11,973754.7000055829
190,2023-01-12,977745.1089449445
191,2023-01-13,982927.3341188947
192,2023-01-17,974457.3864527264
193,2023-01-18,957132.7496882001
194,2023-01-19,950841.3234072247
195,2023-01-20,964222.2041979352
196,2023-01-23,970438.7980394879
197,2023-01-24,981006.1160059491
198,2023-01-25,980295.7893801251
199,2023-01-26,988958.3860750714
200,2023-01-27,998203.3524332562
201,2023-01-30,990467.5737238446
202,2023-01-31,999157.6153002301
203,2023-02-01,991134.5654001752
204,2023-02-02,984567.8730783978
205,2023-02-03,993611.6448603192
206,2023-02-06,991871.0665407697
207,2023-02-07,1004617.0811853925
208,2023-02-08,995336.2277346173
209,2023-02-09,988828.9603090802
210,2023-02-10,996121.4686098614
211,2023-02-13,1004496.6752214947
212,2023-02-14,1001210.3877535382
213,2023-02-15,1001557.8874331036
214,2023-02-16,990088.784997038
215,2023-02-17,992314.0224199811
216,2023-02-21,978795.781522112
217,2023-02-22,980857.7382012005
218,2023-02-23,982289.975378172
219,2023-02-24,974287.1220229015
220,2023-02-27,974852.6979506359
221,2023-02-28,971892.6456544324
222,2023-03-01,973313.5314004346
223,2023-03-02,978013.5067002698
224,2023-03-03,991825.6334130917
225,2023-03-06,992933.2438721218
226,2023-03-07,975921.2803221149
227,2023-03-08,971861.2485210286
228,2023-03-09,956697.7786142635
229,2023-03-10,948906.1599102383
230,2023-03-13,936831.1845684415
231,2023-03-14,950811.0406520596
232,2023-03-15,933737.7487552395
233,2023-03-16,947232.7886073819
234,2023-03-17,930458.3324535122
235,2023-03-20,945433.2421787014
236,2023-03-21,960411.3039690342
237,2023-03-22,944254.4380914669
238,2023-03-23,941447.6913072567
239,2023-03-24,944476.4584199886
240,2023-03-27,952791.621822546
241,2023-03-28,950658.2089322262
242,2023-03-29,965197.974344656
243,2023-03-30,969011.2329563351
244,2023-03-31,977873.4249920101
245,2023-04-03,987865.0871853085
246,2023-04-04,981891.5189098568
247,2023-04-05,983022.2819027157
248,2023-04-06,980613.1880141965
249,2023-04-10,983749.6648975774
250,2023-04-11,986033.0363530141
251,2023-04-12,982638.3637405072
252,2023-04-13,993754.8366587696
253,2023-04-14,985235.1210591565
254,2023-04-17,988252.0027397099
255,2023-04-18,991516.9206932011
256,2023-04-19,1000358.7716873112
257,2023-04-20,993175.899437708
258,2023-04-21,996925.2747314397
259,2023-04-24,995916.6030357304
260,2023-04-25,983418.7395599309
261,2023-04-26,976638.0833370762
262,2023-04-27,992120.5299780369
263,2023-04-28,1000207.5242521763
264,2023-05-01,996786.0436518192
265,2023-05-02,978995.9525625706
266,2023-05-03,969923.5879671574
267,2023-05-04,961327.6350252628
268,2023-05-05,979705.7509100437
269,2023-05-08,979143.1713845463
270,2023-05-09,978898.1596145534
271,2023-05-10,971269.9014682674
272,2023-05-11,967240.3328552151
273,2023-05-12,968275.7702696648
274,2023-05-15,972856.68259729
275,2023-05-16,964147.2294007721
276,2023-05-17,973724.0540045281
277,2023-05-18,976516.237001278
