,date,account_value
0,2022-04-11,1000000.0
1,2022-04-12,999095.4870590209
2,2022-04-13,1004170.19256134
3,2022-04-14,1002189.3388660429
4,2022-04-18,1000803.3906244505
5,2022-04-19,1016751.2000605543
6,2022-04-20,1025376.6471966627
7,2022-04-21,1013090.9868007582
8,2022-04-22,982769.4337383192
9,2022-04-25,991463.8186882704
10,2022-04-26,968838.6239328841
11,2022-04-27,972658.1087412604
12,2022-04-28,996013.5065539854
13,2022-04-29,968304.6330762022
14,2022-05-02,966510.4260256995
15,2022-05-03,966003.4093516577
16,2022-05-04,993241.7455142249
17,2022-05-05,961322.5366786231
18,2022-05-06,959051.1389811743
19,2022-05-09,938325.2562258948
20,2022-05-10,934867.4027407874
21,2022-05-11,928268.7675975073
22,2022-05-12,925413.2417414893
23,2022-05-13,939598.584461521
24,2022-05-16,941975.5527423132
25,2022-05-17,954692.5530818213
26,2022-05-18,921150.9295924414
27,2022-05-19,915566.9879458655
28,2022-05-20,920412.0006755103
29,2022-05-23,939758.2637828101
30,2022-05-24,943143.1034663428
31,2022-05-25,949434.5347827185
32,2022-05-26,963616.2672694434
33,2022-05-27,979120.1558650244
34,2022-05-31,969732.8871539343
35,2022-06-01,968932.0086749304
36,2022-06-02,981883.1496737708
37,2022-06-03,974725.9442675818
38,2022-06-06,975569.098762821
39,2022-06-07,985176.1000560034
40,2022-06-08,980189.8388331641
41,2022-06-09,962588.0856669653
42,2022-06-10,939294.4041980017
43,2022-06-13,912249.5565036047
44,2022-06-14,905267.1751445044
45,2022-06-15,911829.8203852881
46,2022-06-16,887254.1451686133
47,2022-06-17,886159.8754924048
48,2022-06-21,909181.2863505591
49,2022-06-22,908533.5365794409
50,2022-06-23,916189.3701899756
51,2022-06-24,937208.7686999548
52,2022-06-27,937941.6241648901
53,2022-06-28,919966.4051326026
54,2022-06-29,922076.7202647437
55,2022-06-30,914448.6982234229
56,2022-07-01,924874.6844676245
57,2022-07-05,920276.9378817786
58,2022-07-06,922229.901371311
59,2022-07-07,933662.8432887305
60,2022-07-08,934147.7596286047
61,2022-07-11,929983.6778262366
62,2022-07-12,921458.8293879736
63,2022-07-13,915981.753589939
64,2022-07-14,913288.6538813818
65,2022-07-15,935374.0983165015
66,2022-07-18,925435.6132434119
67,2022-07-19,942976.306034397
68,2022-07-20,941447.3195155371
69,2022-07-21,945782.8219302405
70,2022-07-22,943080.7895739783
71,2022-07-25,945969.3793490637
72,2022-07-26,940736.5882189978
73,2022-07-27,950574.5574687232
74,2022-07-28,958569.0593798865
75,2022-07-29,971979.9322627295
76,2022-08-01,967541.2070430029
77,2022-08-02,955146.2394717444
78,2022-08-03,965779.5595439185
79,2022-08-04,962057.2612918128
80,2022-08-05,965348.7784999121
81,2022-08-08,963729.1933406104
82,2022-08-09,959893.991504978
83,2022-08-10,972408.3186763037
84,2022-08-11,969834.855617832
85,2022-08-12,980661.0966037024
86,2022-08-15,984001.7185443152
87,2022-08-16,991110.9375842322
88,2022-08-17,988489.9656756629
89,2022-08-18,989140.8276217688
90,2022-08-19,984233.2360003699
91,2022-08-22,967959.5102656592
92,2022-08-23,963612.5953524817
93,2022-08-24,964986.3223040808
94,2022-08-25,973433.0836795081
95,2022-08-26,946293.4751895178
96,2022-08-29,940477.3223689307
97,2022-08-30,931466.8960192908
98,2022-08-31,922066.8545649756
99,2022-09-01,928095.0172122229
100,2022-09-02,919550.7657359351
101,2022-09-06,917579.4913485755
102,2022-09-07,927745.7153819312
103,2022-09-08,935310.80524094
104,2022-09-09,945828.8353236426
105,2022-09-12,955747.7886622656
106,2022-09-13,920144.9675486792
107,2022-09-14,924824.2176287879
108,2022-09-15,920366.4568141211
109,2022-09-16,917833.4351237525
110,2022-09-19,924279.342071842
111,2022-09-20,914834.9700015296
112,2022-09-21,897635.6110308875
113,2022-09-22,897390.909801792
114,2022-09-23,885572.5477565039
115,2022-09-26,875679.296734165
116,2022-09-27,872935.2518809546
117,2022-09-28,886634.482357334
118,2022-09-29,874538.520675968
119,2022-09-30,860260.3656504859
120,2022-10-03,881003.7002719153
121,2022-10-04,903584.4655574072
122,2022-10-05,904889.9294856299
123,2022-10-06,895192.2821200598
124,2022-10-07,878600.8411677588
125,2022-10-10,874078.4385073889
126,2022-10-11,874359.4759753455
127,2022-10-12,873510.0329516638
128,2022-10-13,896069.1904948462
129,2022-10-14,884312.5412371863
130,2022-10-17,901205.4002536047
131,2022-10-18,910676.9986727942
132,2022-10-19,905941.4069903601
133,2022-10-20,904626.1235049475
134,2022-10-21,925083.2379878272
135,2022-10-24,935398.2690623511
136,2022-10-25,946426.1396067847
137,2022-10-26,951511.2313540686
138,2022-10-27,958984.1892817725
139,2022-10-28,982884.0442355383
140,2022-10-31,978172.903778385
141,2022-11-01,974573.0263369788
142,2022-11-02,955782.0946658362
143,2022-11-03,949880.0853579749
144,2022-11-04,958165.0371363867
145,2022-11-07,968341.1826060523
146,2022-11-08,976584.5865863074
147,2022-11-09,958141.4163935889
148,2022-11-10,992100.8969310034
149,2022-11-11,987092.0224040259
150,2022-11-14,984603.0011027564
151,2022-11-15,984092.3140872229
152,2022-11-16,984530.4727328528
153,2022-11-17,984697.6259883154
154,2022-11-18,992507.6354335059
155,2022-11-21,987140.2024272193
156,2022-11-22,1001722.0685122717
157,2022-11-23,1003743.5992892493
158,2022-11-25,1007734.254181217
159,2022-11-28,995994.86118729
160,2022-11-29,994695.7836917151
161,2022-11-30,1018643.8077204932
162,2022-12-01,1011873.7744258154
163,2022-12-02,1011407.9807093848
164,2022-12-05,997276.8225672949
165,2022-12-06,988882.6222689856
166,2022-12-07,990081.1968119849
167,2022-12-08,996948.7443812598
168,2022-12-09,987087.8499873389
169,2022-12-12,1003866.487888645
170,2022-12-13,1007221.456348728
171,2022-12-14,1004427.5262263526
172,2022-12-15,983890.9877703894
173,2022-12-16,973352.7890742529
174,2022-12-19,969103.2832377661
175,2022-12-20,971040.2994654883
176,2022-12-21,987318.0366404761
177,2022-12-22,979600.7308047522
178,2022-12-23,986422.3117564429
179,2022-12-27,989446.6654132117
180,2022-12-28,978849.075565647
181,2022-12-29,988283.6176417578
182,2022-12-30,985976.6265757788
183,2023-01-03,982078.6696170081
184,2023-01-04,987726.1244776953
185,2023-01-05,977382.2482608069
186,2023-01-06,994810.4199069251
187,2023-01-09,990477.5026095618
188,2023-01-10,994807.0720256079
189,2023-01-11,1000889.2314990271
190,2023-01-12,1005228.8469966162
191,2023-01-13,1007703.5958750952
192,2023-01-17,1003546.2133029212
193,2023-01-18,985050.6392024268
194,2023-01-19,979533.4084323157
195,2023-01-20,990895.7228511084
196,2023-01-23,996448.7219851721
197,2023-01-24,1001116.1884120215
198,2023-01-25,1004267.6679347266
199,2023-01-26,1008596.0474894751
200,2023-01-27,1013422.488304447
201,2023-01-30,1003469.5330355872
202,2023-01-31,1010451.5757449378
203,2023-02-01,1011737.131550144
204,2023-02-02,1005073.2883990515
205,2023-02-03,1006150.2068751563
206,2023-02-06,1005368.4568293799
207,2023-02-07,1008686.5732882727
208,2023-02-08,1004166.5198977698
209,2023-02-09,999480.9131053198
210,2023-02-10,1003413.8579676856
211,2023-02-13,1013354.0020411719
212,2023-02-14,1008580.8811572302
213,2023-02-15,1009067.4732363928
214,2023-02-16,999464.9328540076
215,2023-02-17,1004446.365295719
216,2023-02-21,982045.2873156775
217,2023-02-22,980400.3938906897
218,2023-02-23,983403.6041796912
219,2023-02-24,974880.369705509
220,2023-02-27,976983.6533854712
221,2023-02-28,971841.4086726416
222,2023-03-01,973059.8657954443
223,2023-03-02,984556.0407717932
224,2023-03-03,995534.6918299902
225,2023-03-06,999631.5947612036
226,2023-03-07,984120.7317126502
227,2023-03-08,981896.0587962378
228,2023-03-09,965232.7901423682
229,2023-03-10,953028.5601390112
230,2023-03-13,950781.7036631812
231,2023-03-14,962192.199356388
232,2023-03-15,954061.1305964697
233,2023-03-16,962211.8109172095
234,2023-03-17,952120.0779765357
235,2023-03-20,963637.0940478552
236,2023-03-21,975102.8705561865
237,2023-03-22,959561.9934199561
238,2023-03-23,959699.9548762549
239,2023-03-24,962569.1917117346
240,2023-03-27,969507.905971836
241,2023-03-28,965439.8799975623
242,2023-03-29,973591.9173510779
243,2023-03-30,976120.3908198584
244,2023-03-31,989090.5254786719
245,2023-04-03,1001499.0545085181
246,2023-04-04,995762.1222728003
247,2023-04-05,1001841.2630694617
248,2023-04-06,997701.5760653723
249,2023-04-10,1002130.8397677649
250,2023-04-11,1007021.5003855933
251,2023-04-12,1005229.95260651
252,2023-04-13,1018159.2034228552
253,2023-04-14,1018065.4585459937
254,2023-04-17,1018545.1308253516
255,2023-04-18,1017663.9074481238
256,2023-04-19,1012263.4210932959
257,2023-04-20,1011079.2946208228
258,2023-04-21,1010115.433277439
259,2023-04-24,1012645.875061344
260,2023-04-25,1004089.1606181372
261,2023-04-26,992375.3268016089
262,2023-04-27,1004355.7513545264
263,2023-04-28,1014035.8150370825
264,2023-05-01,1014107.1132472266
265,2023-05-02,1003985.517311405
266,2023-05-03,996347.3446086157
267,2023-05-04,986642.7315409888
268,2023-05-05,1003390.7483866919
269,2023-05-08,1002512.266971897
270,2023-05-09,1000622.4303973425
271,2023-05-10,999109.8492854346
272,2023-05-11,994384.1557887305
273,2023-05-12,994719.3903697241
274,2023-05-15,994187.3068545569
275,2023-05-16,984213.6687663306
276,2023-05-17,996265.4312976111
277,2023-05-18,999684.1329730261
278,2023-05-19,997657.6598819006
279,2023-05-22,992201.0913851965
280,2023-05-23,986664.3831103552
281,2023-05-24,982684.8594248999
282,2023-05-25,978433.5670588721
283,2023-05-26,988164.0336955298
284,2023-05-30,986469.9275134314
285,2023-05-31,985794.8137439002
286,2023-06-01,992653.7522357214
287,2023-06-02,1014441.6526759375
288,2023-06-05,1008251.6852267493
289,2023-06-06,1008821.2630122412
290,2023-06-07,1010026.6402743567
291,2023-06-08,1015792.8827403296
292,2023-06-09,1018796.4097560156
293,2023-06-12,1022804.9355357398
294,2023-06-13,1024880.2099917639
295,2023-06-14,1016479.2862590064
296,2023-06-15,1027918.8198092688
297,2023-06-16,1024812.0620959509
298,2023-06-20,1023439.3729861487
299,2023-06-21,1022760.7943995703
300,2023-06-22,1024400.7569049109
301,2023-06-23,1019023.4064105261
302,2023-06-26,1020163.2469332922
303,2023-06-27,1027723.2117884863
304,2023-06-28,1025333.4553225745
305,2023-06-29,1033998.7126315344
306,2023-06-30,1043064.7096637
