,date,account_value
0,2022-04-11,1000000.0
1,2022-04-12,999988.787153614
2,2022-04-13,1000041.3080037537
3,2022-04-14,1000048.5493631819
4,2022-04-18,999959.8632420232
5,2022-04-19,999904.5618524738
6,2022-04-20,1000235.7898774524
7,2022-04-21,999907.2490911935
8,2022-04-22,998900.51418547
9,2022-04-25,999206.542417022
10,2022-04-26,998333.2281314463
11,2022-04-27,998415.6929578164
12,2022-04-28,999843.2314634087
13,2022-04-29,998308.2829317086
14,2022-05-02,998524.9580531458
15,2022-05-03,998391.3494143174
16,2022-05-04,1000516.0590120119
17,2022-05-05,998061.0053573527
18,2022-05-06,997606.3750551409
19,2022-05-09,996999.3368136476
20,2022-05-10,996584.6626067766
21,2022-05-11,995843.4943282465
22,2022-05-12,996779.7488406823
23,2022-05-13,998237.8448299554
24,2022-05-16,998893.9840297081
25,2022-05-17,1000521.062991092
26,2022-05-18,995604.5627986825
27,2022-05-19,992920.8051911767
28,2022-05-20,993654.4801021074
29,2022-05-23,995403.6031869195
30,2022-05-24,996634.5640445054
31,2022-05-25,997398.9808605644
32,2022-05-26,999665.9477862731
33,2022-05-27,1002100.1448110952
34,2022-05-31,1001127.4657984684
35,2022-06-01,999678.280784316
36,2022-06-02,1002187.4311610365
37,2022-06-03,1000339.3491837642
38,2022-06-06,1000775.5289059245
39,2022-06-07,1001766.7098014246
40,2022-06-08,999860.3332742793
41,2022-06-09,997207.9596563668
42,2022-06-10,993270.1741378311
43,2022-06-13,989888.103524134
44,2022-06-14,987985.4979443727
45,2022-06-15,988582.044372626
46,2022-06-16,983615.2624253907
47,2022-06-17,982812.0456659227
48,2022-06-21,985442.0759199052
49,2022-06-22,984716.7106098694
50,2022-06-23,985565.2626946816
51,2022-06-24,992392.0999420037
52,2022-06-27,992513.3495824839
53,2022-06-28,987205.133270636
54,2022-06-29,987650.1048177818
55,2022-06-30,988301.5050486168
56,2022-07-01,991584.6005942444
57,2022-07-05,990459.4849583536
58,2022-07-06,991847.0000033174
59,2022-07-07,993589.1456102816
60,2022-07-08,993262.9412375245
61,2022-07-11,992473.2707427009
62,2022-07-12,989366.6525992875
63,2022-07-13,989008.8069572587
64,2022-07-14,984832.951095431
65,2022-07-15,987381.974096236
66,2022-07-18,985249.0970979605
67,2022-07-19,992158.3100443715
68,2022-07-20,991840.3548555631
69,2022-07-21,992010.2371069592
70,2022-07-22,991489.7434086865
71,2022-07-25,994166.8774909847
72,2022-07-26,992349.0174080341
73,2022-07-27,992855.1682759424
