,date,dji
0,2022-07-13,1000000.0
1,2022-07-14,997443.2042016344
2,2022-07-15,1007476.7148954078
3,2022-07-18,1004172.5550241675
4,2022-07-19,1003020.0841000911
5,2022-07-20,1017579.5651261068
6,2022-07-21,1024854.5236020854
7,2022-07-22,1014127.3898230054
8,2022-07-25,985522.9521837286
9,2022-07-26,992461.9156293821
10,2022-07-27,968873.2655437837
11,2022-07-28,970673.133195216
12,2022-07-29,988583.2281664714
13,2022-08-01,961208.3433338632
14,2022-08-02,963665.1717867102
15,2022-08-03,965626.4901168958
16,2022-08-04,992799.9601041481
17,2022-08-05,961813.384876102
18,2022-08-08,958939.4944794799
19,2022-08-09,939886.4926582068
20,2022-08-10,937410.1375541566
21,2022-08-11,927889.6141898067
22,2022-08-12,924863.8371884902
23,2022-08-15,938457.1190185256
24,2022-08-16,939237.1034154219
25,2022-08-17,951804.6952316714
26,2022-08-18,917861.6825392344
27,2022-08-19,910955.4532756271
28,2022-08-22,911211.064540649
29,2022-08-23,929234.2205302414
30,2022-08-24,930644.3521637807
31,2022-08-25,936230.7961362962
32,2022-08-26,951297.5146614978
33,2022-08-29,968079.9028290076
34,2022-08-30,961584.6441048641
35,2022-08-31,956428.6973230158
36,2022-09-01,969109.4070866145
37,2022-09-02,958949.0585535385
38,2022-09-06,959417.8120404405
39,2022-09-07,967123.2677070862
40,2022-09-08,959275.4895098048
41,2022-09-09,940676.0980581742
42,2022-09-12,915026.1622968717
43,2022-09-13,889491.3939273595
44,2022-09-14,885063.5692122437
45,2022-09-15,893915.6890437156
46,2022-09-16,872303.898908648
47,2022-09-19,871187.8056234022
48,2022-09-20,889885.1719051226
49,2022-09-21,888511.7594844874
50,2022-09-22,894173.0651081173
51,2022-09-23,918170.9209337997
52,2022-09-26,916351.5266311642
53,2022-09-27,902032.1721788372
54,2022-09-28,904431.616187332
55,2022-09-29,897031.5846714308
56,2022-09-30,906412.1765236595
57,2022-10-03,902639.3200945295
58,2022-10-04,904675.5570048417
59,2022-10-05,914786.035723183
60,2022-10-06,913433.5731790572
61,2022-10-07,908644.3061651388
62,2022-10-10,903033.0980722926
63,2022-10-11,896954.6166468629
64,2022-10-12,892797.603243041
65,2022-10-13,911979.3784900331
66,2022-10-14,905693.6754599978
67,2022-10-17,927683.8727395197
68,2022-10-18,929076.8118113582
69,2022-10-19,933800.4966031597
70,2022-10-20,929789.4491867577
71,2022-10-21,932434.5988121419
72,2022-10-24,925774.3598104856
73,2022-10-25,938484.2172283586
74,2022-10-26,948162.4339566529
75,2022-10-27,957358.461951153
76,2022-10-28,955996.3784039564
77,2022-10-31,944272.3606912913
78,2022-11-01,956407.4058724325
79,2022-11-02,953910.0439628604
80,2022-11-03,956144.1661197686
81,2022-11-04,956991.4975381618
82,2022-11-07,955297.176275449
83,2022-11-08,970894.1316207872
84,2022-11-09,971685.7864651957
85,2022-11-10,984055.4361058369
86,2022-11-11,988468.1177036931
87,2022-11-14,995451.0303468071
88,2022-11-15,990446.6285955795
89,2022-11-16,990992.2362490247
90,2022-11-17,982472.354133069
91,2022-11-18,963726.6551199448
92,2022-11-21,959237.3470715943
93,2022-11-22,960975.731389792
94,2022-11-23,970377.3300475426
95,2022-11-25,940985.3933817518
96,2022-11-28,935610.2699027242
97,2022-11-29,926629.2627875085
98,2022-11-30,918455.1105629732
99,2022-12-01,922710.3834419464
100,2022-12-02,912859.0455873867
101,2022-12-05,907812.4594380788
102,2022-12-06,920520.2104824984
103,2022-12-07,926152.7100259278
104,2022-12-08,937146.9547305049
105,2022-12-09,943840.0987012443
106,2022-12-12,906636.9322640395
107,2022-12-13,907514.8345620132
108,2022-12-14,902464.4341688842
109,2022-12-15,898401.2397772573
110,2022-12-16,904150.8992279059
111,2022-12-19,895014.5897672606
112,2022-12-20,879786.3636342935
113,2022-12-21,876664.6612473284
114,2022-12-22,862491.0450663724
115,2022-12-23,852883.989603396
116,2022-12-27,849216.6226339734
117,2022-12-28,865211.3979169447
118,2022-12-29,851857.9580155367
119,2022-12-30,837281.227498808
120,2023-01-03,859590.2841759662
121,2023-01-04,883649.6233348832
122,2023-01-05,882412.2712535359
123,2023-01-06,872300.084664827
124,2023-01-09,853932.6789381327
125,2023-01-10,851195.4750999332
126,2023-01-11,852253.7854377409
127,2023-01-12,851427.7454699308
128,2023-01-13,875558.2458941657
129,2023-01-17,863785.7815920722
130,2023-01-18,879845.8544520993
131,2023-01-19,889697.1923066588
132,2023-01-20,886782.7115242993
133,2023-01-23,884152.989661236
134,2023-01-24,905983.7287774335
135,2023-01-25,918140.0084801456
136,2023-01-26,927966.2975693133
137,2023-01-27,928035.3524611779
138,2023-01-30,933694.9502144401
139,2023-01-31,957844.4079997559
140,2023-02-01,954088.6872033144
141,2023-02-02,951764.1617749464
142,2023-02-03,937031.7873387143
143,2023-02-06,932761.3713424817
144,2023-02-07,944477.8744255294
145,2023-02-08,956830.0468594085
146,2023-02-09,966560.3536339154
147,2023-02-10,947705.0662722017
148,2023-02-13,982723.980367233
149,2023-02-14,983670.9375570713
150,2023-02-15,977516.1143262087
151,2023-02-16,979154.8728729613
152,2023-02-17,978015.381763679
153,2023-02-21,977796.5466405734
154,2023-02-22,983607.7463534691
155,2023-02-23,982284.1468185564
156,2023-02-24,993879.6757505635
157,2023-02-27,996676.5981226178
158,2023-02-28,1001135.3922204
159,2023-03-01,986632.3847745407
160,2023-03-02,986721.8771818044
161,2023-03-03,1008210.6437213903
162,2023-03-06,1002533.9103354394
163,2023-03-07,1003550.2070622033
164,2023-03-08,989478.3799551582
165,2023-03-09,979254.4986444064
166,2023-03-10,979300.6111443323
167,2023-03-13,984650.913574017
168,2023-03-14,975760.3097302612
169,2023-03-15,991167.1221746701
170,2023-03-16,994186.8647006877
171,2023-03-17,990039.4722999366
172,2023-03-20,967766.7932616088
173,2023-03-21,959554.2139538019
174,2023-03-22,954805.4234675962
175,2023-03-23,957492.8144200733
176,2023-03-24,972846.113592963
177,2023-03-27,962673.8099673137
178,2023-03-28,967816.6630763436
179,2023-03-29,968913.4574264352
180,2023-03-30,958249.8564250311
181,2023-03-31,968308.4158841964
182,2023-04-03,966164.5831407235
183,2023-04-04,965847.488542467
184,2023-04-05,969735.7400794365
185,2023-04-06,959834.5324101421
186,2023-04-10,980253.3750934205
187,2023-04-11,976960.8287406801
188,2023-04-12,982395.4999665257
