date,ensemble
2022-07-13,1000000.0
2022-07-14,999663.5425907136
2022-07-15,1008281.3350078583
2022-07-18,1002969.6919052126
2022-07-19,1020530.2644268036
2022-07-20,1018862.8446174624
2022-07-21,1024688.9197231294
2022-07-22,1019519.0375180208
2022-07-25,1018623.5771603548
2022-07-26,1018081.3691525422
2022-07-27,1031686.5968441926
2022-07-28,1045524.7709774934
2022-07-29,1046004.3816342317
2022-08-01,1044958.392759598
2022-08-02,1043224.5686861878
2022-08-03,1048301.54970578
2022-08-04,1046604.522524536
2022-08-05,1044595.566360748
2022-08-08,1046920.0488509062
2022-08-09,1040943.2697485808
2022-08-10,1054645.8149705236
2022-08-11,1051843.5668740575
2022-08-12,1070298.054880649
2022-08-15,1076234.815470249
2022-08-16,1079799.76442197
2022-08-17,1071585.8984628026
2022-08-18,1070814.933199436
2022-08-19,1063775.9800210302
2022-08-22,1045564.3334260292
2022-08-23,1036460.7323708838
2022-08-24,1041977.7517190285
2022-08-25,1047969.5131478612
2022-08-26,1014817.7492699928
2022-08-29,1008358.7125268286
2022-08-30,997636.5684666936
2022-08-31,988538.5260262792
2022-09-01,991169.6462560004
2022-09-02,979689.7097249336
2022-09-06,975440.001438648
2022-09-07,990437.3543496436
2022-09-08,998056.8722024268
2022-09-09,1006473.0526337927
2022-09-12,1017221.9886727636
2022-09-13,979457.905756504
2022-09-14,981399.7793336218
2022-09-15,981048.3810849494
2022-09-16,974241.9648175545
2022-09-19,979580.0814423864
2022-09-20,972232.924227268
2022-09-21,953969.7425408668
2022-09-22,954026.4665589636
2022-09-23,939956.3561063115
2022-09-26,931016.3659406012
2022-09-27,924750.1376843756
2022-09-28,937986.4466061896
2022-09-29,919542.399431736
2022-09-30,899030.5120396918
2022-10-03,920534.9384579962
2022-10-04,944043.760607273
2022-10-05,946378.4341359442
2022-10-06,933253.2029023474
2022-10-07,911917.2581544226
2022-10-10,908921.9050393408
2022-10-11,909235.8750405615
2022-10-12,908494.839938011
2022-10-13,930487.527293825
2022-10-14,924208.7098324985
2022-10-17,941373.6828328932
2022-10-18,951326.5117842712
2022-10-19,947287.3352371024
2022-10-20,948405.396657032
2022-10-21,968937.7055311622
2022-10-24,981986.1573706092
2022-10-25,991973.1963892402
2022-10-26,994756.2600927772
2022-10-27,993076.6355486336
2022-10-28,1014342.4239702644
2022-10-31,1012488.2489843788
2022-11-01,1005440.3882227364
2022-11-02,982263.2042036476
2022-11-03,974233.0584230842
2022-11-04,971949.2260332528
2022-11-07,987660.9131670416
2022-11-08,1004345.6998262824
2022-11-09,977877.5525541723
2022-11-10,1011847.0655966224
2022-11-11,1007166.5799723092
2022-11-14,999742.3444929542
2022-11-15,1000391.631857914
2022-11-16,996338.70385651
2022-11-17,992319.8040743292
2022-11-18,1000659.3164911688
2022-11-21,995181.4235430184
2022-11-22,1005681.9122915688
2022-11-23,1013496.6180048408
2022-11-25,1019973.2724733772
2022-11-28,1011661.8451357308
2022-11-29,1006530.234421772
2022-11-30,1037741.5513887824
2022-12-01,1017264.2859888496
2022-12-02,1017721.838818592
2022-12-05,997707.0664511146
2022-12-06,994680.0550051156
2022-12-07,996390.6355848731
2022-12-08,1001685.2815733376
2022-12-09,991256.6624937475
2022-12-12,1001670.3151007118
2022-12-13,997936.18813805
2022-12-14,994599.1544161262
2022-12-15,972345.8132601205
2022-12-16,964654.1705675544
2022-12-19,960589.390420002
2022-12-20,958036.1014433326
2022-12-21,975118.8772287788
2022-12-22,971955.6290884436
2022-12-23,974574.2875318946
2022-12-27,976774.106812519
2022-12-28,964753.5064554634
2022-12-29,976311.9883242073
2022-12-30,974614.238820118
2023-01-03,973130.0033560218
2023-01-04,976996.1030798376
2023-01-05,961745.9339209022
2023-01-06,981044.4607286872
2023-01-09,984404.0358534278
2023-01-10,985992.3624945106
2023-01-11,988723.469716114
2023-01-12,994812.8913465308
2023-01-13,992598.5365837574
2023-01-17,985855.1223113764
2023-01-18,965226.9583298092
2023-01-19,964803.3264665584
2023-01-20,975593.0236381608
2023-01-23,978476.12530904
2023-01-24,982117.5379900665
2023-01-25,980901.0359125518
2023-01-26,989265.7179121246
2023-01-27,980740.5517372722
2023-01-30,966428.5363930608
2023-01-31,981423.463072672
2023-02-01,979617.032893076
2023-02-02,971222.5676354312
2023-02-03,963429.6095818424
2023-02-06,963252.4267205144
2023-02-07,972967.820385828
2023-02-08,970934.3491581822
2023-02-09,965696.9823388004
2023-02-10,974394.5705593968
2023-02-13,983447.388115778
2023-02-14,979747.2379731084
2023-02-15,973896.23038949
2023-02-16,960271.7388695622
2023-02-17,972651.48070611
2023-02-21,957310.3384255314
2023-02-22,952907.4987095738
2023-02-23,958192.7791050816
2023-02-24,944457.3252972508
2023-02-27,944850.8496483708
2023-02-28,934452.1901482488
2023-03-01,934725.9282330418
2023-03-02,939830.7903183842
2023-03-03,946570.6462029362
2023-03-06,951795.1751126194
2023-03-07,939063.2281578922
2023-03-08,935141.128147974
2023-03-09,924862.718981638
2023-03-10,922347.040459528
2023-03-13,932220.6757172488
2023-03-14,937098.0968731784
2023-03-15,938831.5991505528
2023-03-16,949760.3189591313
2023-03-17,942263.729042902
2023-03-20,950869.6453617954
2023-03-21,954558.644232645
2023-03-22,942528.4441574956
2023-03-23,943817.2389916324
2023-03-24,955546.0050019168
2023-03-27,957126.6370858096
2023-03-28,950810.4223259832
2023-03-29,955052.181046381
2023-03-30,960151.3304184818
2023-03-31,967654.9638756656
2023-04-03,986851.9608734988
2023-04-04,988117.7273224737
2023-04-05,1006839.3666771794
2023-04-06,1012823.9615601444
2023-04-10,1011348.8008259678
2023-04-11,1011507.54585351
2023-04-12,1011382.2391842748
