date,a2c,ddpg,ppo,mean var,dji,ensemble
2022-07-13,859974.3427703476,915981.753589939,989008.8069572587,901201.4718362304,1000000.0,1000000.0
2022-07-14,849757.7554328537,913288.6538813818,984832.951095431,908775.2202838465,997443.2042016344,999663.5425907136
2022-07-15,863331.6442687607,935374.0983165015,987381.974096236,932288.3520980707,1007476.7148954078,1008281.3350078583
2022-07-18,858900.3198134995,925435.6132434119,985249.0970979605,920440.0219290548,1004172.5550241675,1002969.6919052126
2022-07-19,880740.4450139123,942976.306034397,992158.3100443715,943950.3491881245,1003020.0841000911,1020530.2644268036
2022-07-20,882656.1531002579,941447.3195155371,991840.3548555631,941303.3016075153,1017579.5651261068,1018862.8446174624
2022-07-21,883865.641757782,945782.8219302405,992010.2371069592,950362.2388989549,1024854.5236020854,1024688.9197231294
2022-07-22,885679.9546049194,943080.7895739783,991489.7434086865,946349.1685896793,1014127.3898230054,1019519.0375180208
2022-07-25,892600.5487669067,945969.3793490637,994166.8774909847,948853.5109176532,985522.9521837286,1018623.5771603548
2022-07-26,888756.27308255,940736.5882189978,992349.0174080341,938290.3224447848,992461.9156293821,1018081.3691525422
2022-07-27,896758.6451070862,950574.5574687232,992855.1682759424,954533.116397322,968873.2655437837,1031686.5968441926
2022-07-28,901138.2373693542,958569.0593798865,993717.6289461084,963868.1113090842,970673.133195216,1045524.7709774934
2022-07-29,913323.1030805664,971979.9322627295,998176.2391041208,974298.3255422391,988583.2281664714,1046004.3816342317
2022-08-01,913640.5238687134,967541.2070430029,997488.05625067,971089.5171420693,961208.3433338632,1044958.392759598
2022-08-02,905455.633072052,955146.2394717444,993899.5821584612,961917.8769871105,963665.1717867102,1043224.5686861878
2022-08-03,916711.9547196961,965779.5595439185,997329.871771956,981642.038508168,965626.4901168958,1048301.54970578
2022-08-04,912569.9294854737,962057.2612918128,995982.7251091981,980074.1556984772,992799.9601041481,1046604.522524536
2022-08-05,915370.2412454224,965348.7784999121,997400.950950274,983030.5542858135,961813.384876102,1044595.566360748
2022-08-08,916427.0675927735,963729.1933406104,998658.9457139458,982969.9408259685,958939.4944794799,1046920.0488509062
2022-08-09,922478.829090271,959893.991504978,998134.806614218,978019.2259501626,939886.4926582068,1040943.2697485808
2022-08-10,936247.3429566956,972408.3186763037,1003564.672002722,992667.3472905038,937410.1375541566,1054645.8149705236
2022-08-11,942211.7576041565,969834.855617832,1005960.607069258,986866.7169380239,927889.6141898067,1051843.5668740575
2022-08-12,955110.5982795105,980661.0966037024,1011667.6781258796,1003628.5362887557,924863.8371884902,1070298.054880649
2022-08-15,956843.5155310974,984001.7185443152,1012304.8350335561,1007930.1667276764,938457.1190185256,1076234.815470249
2022-08-16,960669.7912039529,991110.9375842322,1018559.156331831,1018428.670483954,939237.1034154219,1079799.76442197
2022-08-17,958335.3840842019,988489.9656756629,1018216.1643333111,1017136.8369812628,951804.6952316714,1071585.8984628026
2022-08-18,962455.5889754067,989140.8276217688,1020243.7348654004,1016046.5011420329,917861.6825392344,1070814.933199436
2022-08-19,953063.0956328049,984233.2360003699,1016514.1730136662,1008740.3943483786,910955.4532756271,1063775.9800210302
2022-08-22,936664.3944113388,967959.5102656592,1007631.8916249217,988879.9183587702,911211.064540649,1045564.3334260292
2022-08-23,936024.2227676087,963612.5953524817,1005414.6319953975,977804.9131864748,929234.2205302414,1036460.7323708838
2022-08-24,939755.8661143151,964986.3223040808,1006267.4681418743,979167.7657186334,930644.3521637807,1041977.7517190285
2022-08-25,949381.4271799889,973433.0836795081,1008797.1954151554,989296.5176827566,936230.7961362962,1047969.5131478612
2022-08-26,928192.6501261559,946293.4751895178,997733.51760108,957076.289695013,951297.5146614978,1014817.7492699928
2022-08-29,922686.9603831139,940477.3223689307,994713.2913208676,951585.6377596932,968079.9028290076,1008358.7125268286
2022-08-30,911858.3635546532,931466.8960192908,990004.5014052182,940371.5274235215,961584.6441048641,997636.5684666936
2022-08-31,900821.7777201501,922066.8545649756,985138.2398820398,932270.3876804003,956428.6973230158,988538.5260262792
2022-09-01,901003.8758990136,928095.0172122229,989708.2207315617,939880.4589113727,969109.4070866145,991169.6462560004
2022-09-02,895253.6428228721,919550.7657359351,987042.2510077877,928500.1393383461,958949.0585535385,979689.7097249336
2022-09-06,890425.6341019555,917579.4913485755,985146.9370058079,924798.0107605275,959417.8120404405,975440.001438648
2022-09-07,901326.8011538754,927745.7153819312,992934.1543617954,938151.7445394598,967123.2677070862,990437.3543496436
2022-09-08,905793.1591779537,935310.80524094,995768.0779050502,941930.3752345634,959275.4895098048,998056.8722024268
2022-09-09,918333.4445363827,945828.8353236426,997491.0173691197,949063.0901836773,940676.0980581742,1006473.0526337927
2022-09-12,932392.5478879757,955747.7886622656,999740.4071212215,960758.3323263716,915026.1622968717,1017221.9886727636
2022-09-13,900926.3464795895,920144.9675486792,980660.9362982083,913350.9632902741,889491.3939273595,979457.905756504
2022-09-14,908345.0657064266,924824.2176287879,983219.6392991772,911487.6450581731,885063.5692122437,981399.7793336218
2022-09-15,903301.8580667324,920366.4568141211,979174.7779926434,907168.2439793125,893915.6890437156,981048.3810849494
2022-09-16,892602.0694391079,917833.4351237525,978707.2214339771,906318.3343834013,872303.898908648,974241.9648175545
2022-09-19,900418.866167242,924279.342071842,983787.1612305928,915978.4658072696,871187.8056234022,979580.0814423864
2022-09-20,894361.7841092892,914834.9700015296,974917.4460477161,912370.8707461653,889885.1719051226,972232.924227268
2022-09-21,876582.4409314938,897635.6110308875,966484.347588541,896372.2408293848,888511.7594844874,953969.7425408668
2022-09-22,866989.4746877499,897390.909801792,965601.5158863391,896970.2167128846,894173.0651081173,954026.4665589636
2022-09-23,847287.1043588467,885572.5477565039,960493.2745954492,891008.4707629003,918170.9209337997,939956.3561063115
2022-09-26,833660.6928140469,875679.296734165,951540.0969119356,883452.25450983,916351.5266311642,931016.3659406012
2022-09-27,829126.7324411221,872935.2518809546,950490.1573606011,884903.2195038644,902032.1721788372,924750.1376843756
2022-09-28,841240.3405649014,886634.482357334,962044.4204269769,899027.9163444397,904431.616187332,937986.4466061896
2022-09-29,826595.4679929562,874538.520675968,958701.7297752893,882164.734499681,897031.5846714308,919542.399431736
2022-09-30,812591.5304033108,860260.3656504859,948534.6530047089,869508.0396812513,906412.1765236595,899030.5120396918
2022-10-03,838934.9193460293,881003.7002719153,961663.3146846254,892440.1802184741,902639.3200945295,920534.9384579962
2022-10-04,863881.1661512203,903584.4655574072,973099.638396383,911576.8735316994,904675.5570048417,944043.760607273
2022-10-05,861732.8269578762,904889.9294856299,973308.0780022867,915403.2174791484,914786.035723183,946378.4341359442
2022-10-06,854772.1459523983,895192.2821200598,969607.1389136942,907932.9781166114,913433.5731790572,933253.2029023474
