account_rewards,date
-12041.617544670124,2023-04-13
80.2852199630579,2023-04-14
-7473.432588931988,2023-04-17
-2040.0951287765056,2023-04-18
-2233.598011871334,2023-04-19
-2389.632644851692,2023-04-20
-2298.246384872473,2023-04-21
-8967.406951904297,2023-04-24
17910.311519622803,2023-04-25
16848.918840408325,2023-04-26
6330.003099441528,2023-04-27
-3634.4131412506104,2023-04-28
790.2772789001465,2023-05-01
-6856.953561782837,2023-05-02
-3462.190351486206,2023-05-03
10046.3261013031,2023-05-04
-3496.0026321411133,2023-05-05
-3539.9504470825195,2023-05-08
6630.856784820557,2023-05-09
-4062.153968811035,2023-05-10
-2938.483953475952,2023-05-11
-629.3958263397217,2023-05-12
-1887.8862056732178,2023-05-15
6036.693197250366,2023-05-16
5451.184268951416,2023-05-17
-1205.5054569244385,2023-05-18
-1422.194980621338,2023-05-19
-10780.135263442993,2023-05-22
-5577.863880157471,2023-05-23
8301.149576187134,2023-05-24
10253.60931968689,2023-05-25
-2894.902437210083,2023-05-26
36.4430046081543,2023-05-30
5775.796178817749,2023-05-31
14921.193714141846,2023-06-01
-1498.195447921753,2023-06-02
-5027.352966308594,2023-06-05
-9198.840591430664,2023-06-06
10580.901336669922,2023-06-07
901.8788738250732,2023-06-08
9461.023258209229,2023-06-09
4913.211223602295,2023-06-12
6118.065090179443,2023-06-13
20238.603172302246,2023-06-14
-4777.439357757568,2023-06-15
-12604.336353302002,2023-06-16
-6843.58039855957,2023-06-20
8941.180679321289,2023-06-21
-6858.372417449951,2023-06-22
-10519.802680969238,2023-06-23
8343.17735671997,2023-06-26
568.2398681640625,2023-06-27
655.3330764770508,2023-06-28
10138.009223937988,2023-06-29
-6634.761375427246,2023-06-30
-178.5656394958496,2023-07-03
-1661.4604892730713,2023-07-05
-12910.083421707153,2023-07-06
-3935.2188568115234,2023-07-07
3319.351634979248,2023-07-10
3986.6438484191895,2023-07-11
6977.025253295898,2023-07-12
