date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-10-12,-100,37,0,0,0,0,0,-100,0,100,0,-89,0,0,-100,0,0,100,0,0,0,2,0,0,0,0,0,-6,0
2023-10-13,-100,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0
2023-10-16,-100,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2023-10-17,-100,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0
2023-10-18,-100,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
2023-10-19,-100,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,0,0,17,0,1,0,1,0,0,0,0,0,0,0
2023-10-20,-100,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0
2023-10-23,-78,0,0,0,0,0,0,-100,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-24,0,0,0,0,0,0,0,-100,0,51,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2023-10-25,0,0,0,0,0,0,0,-100,0,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-10-26,0,0,0,0,0,0,0,-100,0,51,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-10-27,0,0,0,0,0,0,0,-100,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-30,0,0,0,0,0,0,0,-100,0,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-10-31,0,0,0,0,0,0,0,-41,0,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-16,0,-37,0,0,-1604,0,0,0,0,-1067,0,0,0,0,0,-606,-3,-190,0,-1,0,-11,0,0,0,-615,0,0,0
2023-11-17,0,100,0,0,100,0,0,0,0,100,0,0,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,0,0
2023-11-20,0,100,0,0,100,0,0,0,0,100,0,0,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,0,0
2023-11-21,0,100,0,0,100,0,0,0,0,100,0,0,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,0,0
2023-11-22,0,100,0,0,100,0,0,0,0,100,0,0,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,0,0
2023-11-24,0,100,0,0,100,0,0,0,0,100,0,0,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,0,0
2023-11-27,0,100,0,0,100,0,0,0,0,100,0,0,0,0,0,85,0,100,0,0,0,100,0,0,0,100,0,0,0
2023-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
