date,a2c,ddpg,ppo,mean var,dji,ensemble
2022-04-04,958069.1626576199,928689.1814578555,978689.8051723604,1470507.072296586,954539.3734101022,1000000.0
2022-04-05,947126.75584335,920460.4855578921,967100.9305510148,1460970.6364745898,946866.8636605087,997164.9563531457
2022-04-06,939765.9440032926,913017.3650287173,956094.5670955286,1446366.7110895184,942912.5726381426,994093.3489787672
2022-04-07,942837.9998313871,916750.5932467959,956042.4985806207,1463079.0813922025,945292.1941857454,994151.8787681313
2022-04-08,938683.4843246427,920536.1930163882,959298.4357414026,1459456.1622213507,949051.947115962,992940.9002199898
2022-04-11,927185.1750404325,907109.9906924746,951539.4965924348,1427389.4417333307,937762.0111523072,980721.163378174
2022-04-12,924597.4482643094,904257.5131991885,947836.8513354769,1418384.7793165352,935364.345182326,977848.9596808358
2022-04-13,937589.8843719449,915672.9897311709,959644.3731252565,1435267.79097771,944773.3903494372,989236.527973076
2022-04-14,932433.4933273282,916423.6827701114,959689.7959813585,1424068.3256435092,941674.8747434141,982555.1677101518
2022-04-18,927311.8937866178,915632.2961276553,963733.8725879793,1416885.1735772784,940594.1312918579,980153.2160224534
2022-04-19,943014.7173492399,931969.5158313296,980773.9265270586,1433427.7728320663,954247.4595001481,995380.1277652476
2022-04-20,941420.2227622953,944755.2968143008,989151.4242471666,1444574.9292947496,961069.6391916312,1002712.3709755592
2022-04-21,929340.5381309476,937106.3931125186,979117.300278142,1433077.8862296394,951010.1406450614,991373.6257305146
2022-04-22,905338.4623634305,908190.5864261172,948851.0698182192,1402142.7851586465,924185.9856765724,969711.9872735596
2022-04-25,912508.4595558133,916412.0680926822,954924.8869206171,1419774.7071581928,930693.0819926808,982170.1455011102
2022-04-26,887824.8609420743,894103.0603259585,926554.9075488863,1381661.7470509545,908572.5420480419,961490.2874440156
2022-04-27,888294.8004981962,898626.199432709,923015.4648698434,1401910.6759414708,910260.389556657,961873.4901282198
2022-04-28,910285.5188018766,913111.5804828189,942765.9455470018,1451666.2918730415,927055.7962368303,982405.9216742328
2022-04-29,886866.854331204,889630.3502658389,912902.9339562502,1419908.0464526732,901384.669181141,956099.115678734
2022-05-02,887962.2220794645,896255.8007663272,914883.8435617189,1423577.3118913257,903688.589572139,954525.8310027393
2022-05-03,887914.6454154935,894748.4539874576,916872.0146205339,1412083.6236199313,905527.8393939637,955946.973311062
2022-05-04,912764.7965118375,921565.732673981,943685.2085087327,1443559.125648735,931010.0872591964,981185.0328425332
2022-05-05,880590.4893218961,891985.8840945743,909489.8830066919,1400731.5873838551,901952.0541546214,952042.9173535426
2022-05-06,874633.1474143949,886277.2445376895,903851.5050677118,1398800.247058176,899257.0289164537,955700.1087173426
2022-05-09,850969.3277122464,874253.0537341617,877958.9122130098,1370135.9580258455,881389.8476100483,937301.7093523142
2022-05-10,852676.6567413297,869537.0235904239,872315.7899067889,1378909.295613192,879067.6158673469,936334.1492445414
2022-05-11,840261.6800262418,859572.676033356,863258.5400254069,1358269.8262239494,870139.6307299716,925581.829441128
2022-05-12,833279.5792037931,859330.2160800479,855388.9902760782,1352980.3341105795,867302.1720039186,922216.4363049852
2022-05-13,847665.0727323728,872655.8917926333,875353.7850389604,1371328.8517948124,880049.4353110127,934441.0003301164
2022-05-16,845170.5494398313,874683.2388309024,868489.6190681505,1382181.943723445,880780.8750477136,937962.7358546032
2022-05-17,849769.9856352048,889657.0393985293,889513.7980300722,1399711.6542709013,892566.2852246611,948464.9439351542
2022-05-18,813513.443143662,856339.5239261172,856803.5367340212,1345892.4361649076,860735.817377633,913048.0611237986
2022-05-19,807046.0573149266,848794.3532489322,847533.2351350755,1333006.7255665553,854259.4179339136,905995.6589827694
2022-05-20,807864.9223080602,845602.6141665957,847954.0218524981,1340961.7917641485,854499.1204678736,910558.5930013928
2022-05-23,823050.8441623845,860505.1267627261,868457.2111142778,1367172.15384363,871400.5514759857,925446.0941475031
2022-05-24,821572.6654972234,862983.5090106509,863532.7729914675,1370093.740192212,872722.919352643,931422.1220742876
2022-05-25,826325.4332470098,870025.3992618106,870183.5298254747,1367063.7237562758,877961.6742874989,935219.8891286548
2022-05-26,842434.9486393132,885655.359085419,893335.7425864114,1374187.644134325,892090.6705531576,947808.538070885
2022-05-27,859273.7687114873,901746.0971606753,911221.7459658823,1402033.977032578,907828.5566330603,963607.4580933346
2022-05-31,853450.0388988652,897240.7564548037,909694.073150651,1394308.5507458881,901737.549748953,955044.690813641
2022-06-01,854484.8767933049,890804.9536212466,903319.1734724131,1386691.730591807,896902.4987254125,957369.3428969044
2022-06-02,876791.2243662,901623.3284305118,924079.6212064447,1393055.6891518096,908793.9866161636,967955.991332314
2022-06-03,866147.5335172085,894861.6372302554,913995.3606370363,1375367.2161892736,899265.9977417779,956772.8451234364
2022-06-06,865590.3577063604,894287.5188907168,914388.0267442255,1372272.9733144115,899705.5769543898,961678.1387485357
2022-06-07,874035.6520903631,899856.6542361758,920239.18565421,1388019.1620778646,906931.4605571884,969972.2978979228
2022-06-08,867599.470941834,891002.148613312,910746.877471902,1376248.2879830904,899572.1122918285,960768.0175458912
2022-06-09,850397.631513886,874662.9956363223,886648.5295416727,1346987.4762770557,882130.3095579384,942623.4383453602
2022-06-10,827047.4652655645,849326.8772967837,854852.1387064639,1314270.9122786405,858076.7742124917,921385.2890084196
2022-06-13,799031.2392104192,827890.595123627,829028.6137167788,1270923.3523986693,834131.2384719898,900961.9961598286
2022-06-14,799829.9743636175,823350.9402545474,831136.8070005846,1269405.4430457922,829978.9926621128,893739.1866517873
2022-06-15,814993.0939047857,831739.6519855044,850397.9003106699,1284370.1881597857,838280.1743582352,900592.5463368306
2022-06-16,797567.4881842657,810639.199432709,828578.6329710283,1265904.5146959524,818013.4585765727,881100.7149179425
2022-06-17,800634.1294692083,810904.0073321841,831277.182727151,1268989.9474418918,816966.8286927671,882788.1689927717
2022-06-21,816947.9289649053,823782.1479037784,843453.5943070384,1308421.974102648,834500.5085003644,902400.5074845318
2022-06-22,818553.4741080328,818670.678779938,841366.8808850184,1313521.0919606043,833212.5745066479,907788.1485620848
2022-06-23,823639.6820738836,824081.1815417788,847102.4482283487,1348911.6582066494,838521.531854011,917026.2814689794
2022-06-24,849498.0542548223,847912.1514972232,882107.9981111689,1379505.3309938526,861025.8093964461,941056.4900172544
2022-06-27,843621.3079817815,844919.4534533999,873386.9435509195,1377895.8069252425,859319.6505361276,943545.8268900724
2022-06-28,828479.6828406377,827558.1960834048,853913.0678216867,1337567.4085550618,845891.5039065107,932893.4576820072
2022-06-29,831123.5006773992,828932.3211215518,858120.3936184854,1351208.5068314988,848141.611345564,935941.9338163688
2022-06-30,824783.2035201116,822399.2263186953,849077.3011397944,1338109.712139023,841202.142908622,933441.1605480162
2022-07-01,836948.8195708318,829214.7117236636,858321.5464751939,1354401.671966134,849998.905589767,941398.7643371358
2022-07-05,834502.5870497747,828086.2286227725,858981.765669362,1363459.1688300287,846460.8641569972,927702.7019453665
2022-07-06,837303.2670157476,828434.3112185977,856246.3662880716,1375023.8743008561,848370.369777194,937518.9899321218
2022-07-07,845826.6310523077,839854.3692019961,870579.8149169054,1384254.447139945,857851.5926338184,944250.7419107062
2022-07-08,844247.8663847967,837960.3582461856,869201.4592923631,1380814.695692184,856583.304638431,944931.1800232552
2022-07-11,839654.6886008306,832966.0205539248,863398.2134913531,1380873.6541759116,852092.1119715134,942784.2941821103
2022-07-12,837334.1568739935,825400.5020984195,864871.5488309985,1357616.934955488,846830.1341853718,931027.9517085844
2022-07-13,829860.3259604498,823707.4029162906,861237.6948420649,1359116.2746075802,841129.965219109,919335.0051094558
2022-07-14,828887.1143477483,819150.1356204532,857112.1081189356,1362913.186245008,837231.6759691536,912068.4091269042
2022-07-15,844899.3037131353,833143.0017474673,875392.7855728655,1375198.800321496,855219.6161022446,937365.7322824636
2022-07-18,838979.9429190679,829188.8243258975,874071.4885136995,1351114.5349940388,849325.1225872926,924317.437809136
2022-07-19,863505.7051680608,848137.1815951846,904032.988745862,1368869.3777875842,869946.694213773,943068.5739898956
2022-07-20,868835.891027741,849738.1767962954,910562.900044446,1358836.762295045,871252.9395591929,938627.0129440773
2022-07-21,875415.6321623846,854040.4759219668,919137.1004241686,1368501.8185066464,875682.6317096023,942635.644836808
2022-07-22,870313.8003676458,851821.8341754458,912328.8731363077,1361767.6530955574,871921.2238175699,938403.6244598356
2022-07-25,866863.5291770025,854284.1198428653,910437.903504014,1361987.8010077719,874401.744650069,944328.9567299888
2022-07-26,858521.4414389654,843547.7156528018,899053.4421859217,1350753.5578873921,868156.0255291206,938845.6474267052
2022-07-27,874420.0198271795,858737.6821216128,908071.1947600375,1387403.32056296,880074.8469827644,947986.5358349158
2022-07-28,889310.5575316473,869990.1384585879,920177.7863478938,1401076.7200079157,889150.7109662574,949507.991033284
2022-07-29,894414.5068677755,875333.349029877,927151.910309228,1396919.31945461,897774.3966729929,953618.120457074
2022-08-01,899848.1883596273,875437.8055270694,933684.8656083994,1393604.6927459827,896497.0864664163,945705.558241677
2022-08-02,889593.4557836729,861300.2787326358,917543.0511780786,1378759.733009938,885502.7480374022,939898.5584878012
2022-08-03,902360.8932353101,873612.0793689273,932533.9187064829,1404345.5748859984,896882.5324118934,948996.125069924
2022-08-04,899718.9495097242,873220.1849063418,935151.3939281168,1401605.8695259974,894540.6012849978,944558.4870467688
2022-08-05,898004.0282135663,875558.9706119082,936600.1645600214,1402852.1731626312,896635.6761720199,946094.0166187256
2022-08-08,898796.996026692,877196.3072970889,934996.2585080843,1404672.1396724049,897430.2713870449,948183.3819328428
2022-08-09,896297.4531083112,874880.4616778872,927581.593046361,1409822.5933182002,895841.4012721851,946176.1581385504
2022-08-10,910666.2136440015,892268.9665606997,947130.114405572,1428266.0336760748,910467.6334846823,955566.8854617622
2022-08-11,910435.4475095716,893788.5656817935,947109.4133001223,1421619.7826892682,911210.0173237132,948582.9763610618
2022-08-12,924004.9483411756,904876.866356232,956524.8824385577,1447763.9367663586,922809.8048479704,958324.26270131
2022-08-15,930282.7230260816,908467.5246966861,963403.0439641619,1452660.212804854,926947.8500177509,964306.1496107948
2022-08-16,936951.4502370801,917797.0252307437,970102.9064757967,1454767.5114901753,933496.1602216582,972007.6940062416
2022-08-17,930367.3524930921,914051.391495087,961110.149800294,1455499.2345037113,928803.2223708129,968532.0400404708
2022-08-18,931133.9731405225,915137.0784839175,964471.7133351755,1455201.283861508,929314.8725012079,967643.1276655624
2022-08-19,919587.6972654309,906591.6848681949,949642.615743188,1447272.4703465912,921325.2507133685,965563.9202277572
2022-08-22,901037.1750989995,887458.8352588199,928683.3345601893,1422104.4781866106,903746.2463063655,948258.6071734016
2022-08-23,896411.1041914067,883560.4709476016,924862.2133039827,1410113.508728995,899536.3437622621,942069.1544227684
2022-08-24,902581.8576131902,883029.4496615909,930810.1084565058,1407862.363054708,901166.5345366508,944029.152084359
2022-08-25,909714.4159971318,892288.7323153995,943251.9055958147,1417868.283666822,909982.9966019897,946505.4065513696
2022-08-26,882260.8814397893,864338.3228152774,912992.12431524,1379238.8460652283,882420.3549626165,919294.5057839134
2022-08-29,878141.8950735173,858906.2789767764,907878.1771873941,1362441.476440371,877379.7683587316,911388.6164330224
2022-08-30,869612.5608335576,851814.1086658023,901865.6435564947,1350009.2364835548,868957.7210641939,907131.3813027124
2022-08-31,862366.8633801427,845451.066582062,893002.6922661391,1333271.3555318238,861292.3116346485,902231.0706843496
2022-09-01,861645.3544321217,850354.1807435724,891443.9340512418,1344320.7467868174,865282.7448876362,914497.9818450288
2022-09-02,852511.6292039857,840727.7305577967,882932.7308119078,1325827.9635938907,856044.5344886034,903959.1159545258
2022-09-06,849292.0719084,834618.6732743952,880081.943542386,1317885.4058485795,851312.037711775,901361.8546478546
2022-09-07,863780.9793093381,848304.7463258478,895555.522449727,1335394.9836009296,863228.8838884128,911852.8829667632
2022-09-08,869572.6309673925,852693.880956051,902593.4888436137,1337814.7999342415,868510.8279880736,917176.7879203536
2022-09-09,878473.72071452,865548.5373719904,914541.068102254,1355257.333100778,878820.8130133385,928251.908653836
2022-09-12,886224.5048560605,868751.9201806757,921551.1840356798,1372258.5016144193,885097.389164271,919648.9688001678
2022-09-13,851817.4793967709,830360.2691777918,877810.8540352526,1319114.0453204452,850209.6729848838,887379.8809502685
2022-09-14,853128.6657533498,829598.772324917,882194.34367764,1329485.438420153,851032.9364094269,892626.9816544616
2022-09-15,846169.1515141377,821038.5698083612,875569.9536903582,1311382.5913699837,846296.8627796419,885089.5965519875
2022-09-16,838598.7980309015,820846.60305917,866370.0002601938,1314005.8344678166,842486.5534352469,889122.3441426781
2022-09-19,844200.485423491,826609.1642068598,873373.2191327066,1313778.5215300147,847878.3656451281,888661.1634328392
2022-09-20,838166.6070623174,814422.3809903833,861695.4291938525,1305378.30081356,839310.6817108035,879086.3388488509
2022-09-21,825108.1998836694,801386.417107937,844819.3333697328,1283939.652813067,825030.2297460701,867926.1099004486
2022-09-22,819286.0394832788,797448.1407293055,836445.7503972522,1301443.3956584802,822102.8158374507,877517.390718438
2022-09-23,803244.1530580373,785947.4610780451,820888.508940938,1288143.344982508,808811.3370222966,868068.904495032
2022-09-26,794785.3344707361,778426.2498086664,808566.6996133623,1284180.5707213613,799802.2053700841,865851.1122625186
2022-09-27,790043.78399367,775254.8131803247,806733.7993731967,1275649.8979684045,796363.0879452047,863603.1405881298
2022-09-28,803764.9134767117,794001.8820108149,825251.0962569838,1287786.5729975312,811362.3805824933,877671.9849004467
2022-09-29,787079.2895005613,781168.09052026,807808.9305917502,1265624.3873606105,798840.0319247473,869850.143389674
2022-09-30,771862.4901906934,765560.5744374964,781844.0530030795,1238091.046212429,785170.5277993546,858363.7242854106
2022-10-03,793582.2538247724,787345.303908703,802765.4187912245,1268073.6617088676,806091.1136558373,876479.8850596416
2022-10-04,817723.465370215,810359.8364976618,829903.2621705427,1294447.8467994584,828653.047932499,892295.37846403
2022-10-05,815908.5734469399,808298.775191662,831893.5196198645,1295532.6348638348,827492.706156191,892488.2328134258
2022-10-06,807549.780021708,799230.0820764276,823464.5387675009,1280464.3918543477,818009.881723616,882953.5193046673
2022-10-07,791120.2887228989,781485.4961007807,806219.7430695411,1249411.1609129603,800785.6263897007,870951.596751067
2022-10-10,790961.4200823808,780055.7193101618,802294.1631631614,1255236.0464989543,798218.780613457,875174.0545399655
2022-10-11,793498.8163449921,783032.0084680292,801371.6426620779,1252144.2359049912,799211.2238442628,891389.7485343463
2022-10-12,790208.1252347627,781907.6550954554,800387.8582260046,1249504.4164570216,798436.5949427569,889819.2832194623
2022-10-13,809894.2819313607,801860.9677518579,819885.2541022043,1282723.4828673438,821065.2615506992,911214.956211522
2022-10-14,801914.0539622522,786978.8713620874,810836.8880786372,1263562.4502532408,810025.4917505492,901024.7171582916
2022-10-17,816166.4211288629,802846.1901334497,828800.2144949827,1297873.7036014718,825086.0179750208,914716.8308595724
2022-10-18,828097.3711334405,811913.50656831,838164.4002181101,1304895.2820292057,834324.2283740534,924735.4018296308
2022-10-19,831659.8746887384,804263.5377610895,831921.861827096,1295999.2334531788,831591.1390141231,923067.2795479916
2022-10-20,832311.3069473443,799148.4344114038,831364.9843054324,1289261.9921376165,829125.0857510457,921798.3104191844
2022-10-21,849364.1760879693,818773.0326036188,846392.9877062426,1320945.3206574186,849597.1235695925,941512.2253214576
2022-10-24,857743.704797381,833473.4496530268,854296.1423689661,1341285.0691940289,860996.8208717378,958517.7792066048
2022-10-25,868849.2589813409,846276.1610711786,872402.9289881259,1356792.6605440844,870211.5414901597,965400.7311963892
2022-10-26,854592.8742080865,844351.210317013,868124.0034080516,1327860.8523787924,870276.2985444344,967793.3119257706
2022-10-27,869424.6088577447,851202.4201520655,871962.6239864626,1321351.5228498736,875583.6543158469,970967.2790779598
2022-10-28,892204.3029037652,875589.8551553461,894084.1187268572,1360930.7429025439,898230.0984168422,992196.5121744032
2022-10-31,889716.8345810113,869338.3455461237,887079.3626678019,1352791.310226843,894708.1261294447,988363.4777852696
2022-11-01,886319.3821731744,868964.2198194239,887091.466335618,1337287.9496143858,892528.2744887637,985810.527672202
2022-11-02,878490.8486648736,854636.5933965418,871024.2307821075,1310658.4071300076,878712.8134083939,969098.3525630482
2022-11-03,888884.2860199151,848296.8733648035,869071.1787006311,1289913.8807525714,874708.1795153097,963002.2394257172
2022-11-04,893155.6497512994,867805.8303064081,883652.8796507579,1311525.49288585,885695.4710101407,982620.6464746676
2022-11-07,907894.2779174981,879854.5278733942,895360.4713025065,1328906.1151261632,897278.8690738353,997053.554254674
2022-11-08,919061.9203710542,889294.986205456,908861.0805277033,1339233.850013374,906403.5811238257,1005386.9227476816
2022-11-09,902770.3727941499,877538.5401777002,890937.6547840701,1326018.3732245509,888721.8089266506,980328.463049199
2022-11-10,930831.0961141572,917567.4101060602,938945.8292843237,1383439.5861715544,921561.216236777,1018201.2316698198
2022-11-11,925546.3780126558,924286.9879468653,944511.5043879156,1377317.5707089312,922449.2367155949,1028202.6338756836
2022-11-14,917338.8308019624,917873.498515484,937142.9473046103,1377862.1518797472,916677.4773043342,1018212.8870469864
2022-11-15,925085.5894346223,921431.8516248438,945144.2962535467,1377368.8136441433,918214.2428149299,1023518.0498124284
2022-11-16,922479.0920286165,920798.9266332361,938701.6028949118,1379533.6392088542,917145.6713405991,1019070.080109269
2022-11-17,920223.297427176,920645.5759404871,938363.0055913725,1392310.6548786908,916940.4560754449,1017296.9997506876
2022-11-18,925990.5271711336,924908.000216839,942940.6512336455,1404949.7722427016,922389.9784054176,1020170.400555394
2022-11-21,924882.6533231721,928954.6432622644,935396.8625687438,1411894.3549419972,921148.7570435975,1020435.667565442
2022-11-22,930958.5014486299,941561.5704358789,947239.9668600092,1429294.6079975457,932022.6035752513,1036457.3678519296
2022-11-23,937459.6984128938,941149.3875936243,952415.3756861372,1435871.7763877178,934645.451123906,1036206.7652369242
2022-11-25,946246.9185857759,943721.153556225,958585.3225593196,1436086.1847060402,938826.7388443562,1036289.0491310244
2022-11-28,932045.7994756685,930508.3243573877,943972.0961607981,1426631.8853488858,925226.3694141703,1014469.6376887788
2022-11-29,933537.573397635,932245.4399446222,947751.0230998107,1422140.1476672213,925310.2919939887,1023324.532192687
2022-11-30,952388.4168767915,953403.585776684,975257.089011157,1468764.4601317984,945461.6409213332,1049093.486696662
2022-12-01,939563.95142269,952964.7795194361,967682.6297423812,1467853.8530737679,940138.2160045485,1046838.7202552442
2022-12-02,948024.1628561006,953888.9905828211,975553.1488430281,1472444.0873768083,941091.2604669661,1044226.9211446332
2022-12-05,937973.7597074495,939929.4952920649,961998.9264837694,1458752.382848571,927895.2355784759,1028668.1154451018
2022-12-06,926321.6634702669,928865.8747247431,947230.8188231593,1440134.7664792044,918307.6680787228,1013283.051817874
2022-12-07,921803.3857908235,930509.2048562738,945337.5543477603,1444730.359263233,918350.9106293927,1012877.4179010304
2022-12-08,928143.180693625,935758.4453328821,955491.0922497226,1459383.9421933729,923368.2209961268,1016924.58611378
2022-12-09,922305.5639486299,926678.9995568964,948407.0180603209,1442930.438067325,915030.950455248,1003216.3424555216
2022-12-12,941125.6695394502,941677.8966211054,969486.225288455,1462449.5995364147,929478.8738785632,1021981.7480888262
2022-12-13,940513.2864980684,948311.5719770166,971419.1016641532,1480803.3813474057,932310.6737029237,1032230.1566884888
2022-12-14,940143.7947416292,943445.5502008173,968017.2677615805,1486023.38131984,928421.4066641575,1023791.5620186108
2022-12-15,921473.2897481904,921251.6218484613,945039.783870719,1450632.1610403059,907534.9343754255,1002231.7317948485
2022-12-16,914579.0713109956,913617.4029859278,936390.7584195052,1436298.1580964616,899833.4894869885,985706.7034816084
2022-12-19,914560.8951063142,906227.5557340357,929189.814234231,1426227.0945655874,895380.2541701033,981242.719621976
2022-12-20,920845.0050725923,908831.1924394342,931599.103593669,1429969.023936809,897900.3873144508,990368.2473311644
2022-12-21,936925.2099103914,925148.6124757502,965907.9557428466,1456203.378490882,912298.1280246429,1001785.5467472868
2022-12-22,921810.4620542512,915752.1646531794,955216.8158200064,1444598.6990534575,902758.928118602,985624.1840348234
2022-12-23,927382.9601125703,919647.2075685236,957772.0659775344,1448696.9950274434,907581.7003931869,1000256.1699068708
2022-12-27,928793.3470182405,921172.2173780176,961178.4731118765,1448446.3006856553,908610.2324687493,1001877.865327487
2022-12-28,919116.015044211,910093.9290841791,950903.5877088194,1429693.0581832076,898610.3125475467,987966.4447940016
2022-12-29,926690.4751081453,920459.3528398249,963298.2526860913,1445428.3673078078,908042.8474952687,1004254.9722553547
2022-12-30,926012.6473569856,917227.566207287,963435.0338413497,1442499.4103284432,906032.4425901753,1004593.8278197928
2023-01-03,932736.8538045869,918544.2165940973,970814.0278062392,1439282.6449890994,905735.0833219888,993339.4177129013
2023-01-04,942350.356638907,920383.1461290094,990586.2287954435,1431296.3217943422,909381.3379031633,987255.967311595
2023-01-05,933866.7753744111,909473.6288026544,984141.2413077727,1423252.3467388386,900096.3614863693,978894.4029515332
2023-01-06,959903.7905263887,928849.5427564356,1011693.037440097,1447440.9118030665,919244.376466443,996069.9220771476
2023-01-09,954374.2514333711,926419.681889889,1009256.6714011374,1425542.2541865134,916156.751576885,993486.8191659916
2023-01-10,954144.5600118623,934086.2290281031,1013074.7417693015,1431652.7949817681,921253.1797955856,999804.1874182576
2023-01-11,957627.7625417695,943972.8096269342,1021130.8613042098,1446593.4611465952,928603.4524638911,1010161.9227596788
2023-01-12,968740.689501761,949527.1717675898,1030085.9153358451,1453117.8181837718,934533.6611225446,1018215.4935122425
2023-01-13,969956.1415281282,954788.5051587793,1032453.5170627966,1460695.4650616539,937612.5307302385,1021021.2225033236
2023-01-17,963110.1707944856,940567.577510235,1024225.7905858603,1453188.495429994,926904.3939236209,1018452.8974556244
2023-01-18,943497.3126821504,922810.5856374475,1007831.4680478964,1428358.3729094416,910124.5759160346,999386.2126669396
2023-01-19,937329.5487089143,909043.8930619928,998665.6459797889,1421202.4533604016,903225.5205789164,991659.4660270092
2023-01-20,947744.8754453645,917756.2877439234,1010675.3581013327,1440094.8410602058,912271.0080052104,1013009.6031448984
2023-01-23,958054.6472425447,924660.8507379267,1020440.172035182,1444943.1597603038,919215.6548710598,1020411.6904492195
2023-01-24,964596.6509275422,927226.7189305994,1021148.8877512694,1438777.493774082,922069.3429000804,1023782.932518323
2023-01-25,967777.8344449983,926573.5262216303,1023305.5612938108,1435928.822892655,922339.3686053744,1020922.7457244272
2023-01-26,975982.1875905977,928683.5943845484,1027812.0295056411,1440820.1850531113,927958.3376709349,1039654.8327465944
2023-01-27,972789.5003576265,934549.7208341333,1035614.3600276633,1434444.4383453259,928741.9353977648,1050041.55117179
2023-01-30,966728.8242368684,929891.5451959345,1027945.8830882178,1426080.0383841682,921608.1957979986,1036614.4768247444
2023-01-31,977326.4070806489,938890.9804605219,1040462.2415813742,1445605.667102737,931692.8924728599,1048692.8568048163
2023-02-01,978891.3401098237,940023.1177266809,1046635.9117863532,1455580.4278681106,931882.0919785068,1046234.9973638526
