account_rewards,date
192.8543493958423,2022-10-04
-9534.713508758578,2022-10-05
-12001.922553600278,2022-10-06
4222.457788898493,2022-10-07
16215.693994380883,2022-10-10
-1570.465314884088,2022-10-11
21395.672992059728,2022-10-12
-10190.239053230267,2022-10-13
13692.113701280556,2022-10-14
10018.570970058441,2022-10-17
-1668.1222816391382,2022-10-18
-1268.9691288070753,2022-10-19
19713.914902273216,2022-10-20
17005.553885147092,2022-10-21
6882.951989784255,2022-10-24
2392.5807293815305,2022-10-25
3173.9671521892305,2022-10-26
21229.233096443233,2022-10-27
-3833.0343891334487,2022-10-28
-2552.9501130676363,2022-10-31
-16712.17510915373,2022-11-01
-6096.113137330976,2022-11-02
19618.407048950205,2022-11-03
14432.907780006411,2022-11-04
8333.368493007612,2022-11-07
-25058.459698482533,2022-11-08
37872.76862062083,2022-11-09
10001.402205863851,2022-11-10
-9989.746828697156,2022-11-11
5305.162765441928,2022-11-14
-4447.969703159411,2022-11-15
-1773.080358581501,2022-11-16
2873.4008047066163,2022-11-17
265.2670100479154,2022-11-18
16021.700286487583,2022-11-21
-250.60261500545312,2022-11-22
82.28389410011005,2022-11-23
-21819.411442245473,2022-11-25
8854.894503908232,2022-11-28
25768.954503974877,2022-11-29
-2254.7664414177416,2022-11-30
-2611.7991106109694,2022-12-01
-15558.805699531455,2022-12-02
-15385.063627227792,2022-12-05
-405.6339168434497,2022-12-06
4047.1682127495296,2022-12-07
-13708.243658258463,2022-12-08
18765.405633304617,2022-12-09
10248.408599662711,2022-12-12
-8438.594669878017,2022-12-13
-21559.830223762547,2022-12-14
-16525.028313240036,2022-12-15
-4463.983859632397,2022-12-16
9125.527709188405,2022-12-19
11417.299416122492,2022-12-20
-16161.362712463364,2022-12-21
14631.985872047371,2022-12-22
1621.69542061619,2022-12-23
-13911.420533485478,2022-12-27
16288.52746135334,2022-12-28
338.8555644378066,2022-12-29
-11254.410106891533,2022-12-30
