date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-07-07,100,0,-100,0,0,-77,4,0,0,0,0,0,0,100,0,0,0,-74,0,0,14,100,0,100,0,0,0,1,-5
2023-07-10,100,0,-100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-19,0,0,17,0,0,0,0,0,0,0,-41
2023-07-11,0,0,-100,0,-40,0,4,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,100
2023-07-12,0,0,-100,100,-33,0,100,93,0,0,0,0,0,2,0,0,0,-100,100,0,0,0,0,0,0,0,0,0,100
2023-07-13,0,0,-51,73,0,0,3,0,0,0,0,0,0,100,0,0,0,-54,0,0,0,-1,0,0,0,0,0,0,100
2023-07-14,100,0,0,-18,-63,0,0,0,0,0,0,0,0,100,0,0,0,-96,0,0,0,1,0,4,0,100,0,1,0
2023-07-17,0,0,0,1,0,0,1,-56,0,0,0,0,0,0,0,0,0,-70,0,0,67,0,0,0,0,0,0,1,100
2023-07-18,0,0,0,100,0,0,100,60,0,0,0,0,0,2,0,0,0,-74,-16,0,100,0,0,0,-91,-37,0,1,100
2023-07-19,91,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-34,0,0,0,0,0,0,-63,0,1,0
2023-07-20,100,0,0,100,53,0,2,0,0,0,0,0,0,0,0,0,100,-69,0,0,0,0,0,0,-88,0,100,0,0
2023-07-21,0,0,0,31,-28,0,3,0,0,0,0,0,0,0,0,0,0,-10,-50,0,0,0,0,0,0,0,-23,100,100
2023-07-24,0,0,0,0,-76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,-41,0,100
2023-07-25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,0,-36,3,0
2023-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
